source	translation	status	notes
\n\nArtifact Level: 	\n\n유물 레벨: 	translated	아이템 툴팁
\n\nBonus AC: 	\n\n추가 방어력: 	translated	스킬 설명
\n\nCelestial Items cannot be upgraded with crafting Gems or Cubes, but scale with player level, up to level 1000.	\n\n천상 아이템은 제작용 보석이나 큐브로 강화할 수 없지만, 플레이어 레벨에 따라 성장하며 최대 1000레벨까지 적용됩니다.	translated	천상 아이템 설명
\n\nCelestial Items cannot be upgraded with crafting Gems or Cubes, but scale with player level, up to level 600.	\n\n천상 아이템은 제작용 보석이나 큐브로 강화할 수 없지만, 플레이어 레벨에 따라 성장하며 최대 600레벨까지 적용됩니다.	translated	천상 아이템 설명
\n\nCurrent AC from items: 	\n\n아이템으로 얻는 현재 방어력: 	translated	스킬 설명
\n\nItem Modifier:\nTwo Handed Weapons: 	\n\n아이템 보정치:\n양손 무기: 	translated	연금술 설명
% craft items drop chances 	% 제작 재료 드롭 확률 	translated	차원 지도 옵션
% item quality 	% 아이템 품질 	translated	차원 지도 옵션
% monster density	% 몬스터 밀도	translated	차원 지도 옵션
Ally	동료	translated	멀티플레이 회복자 기본명
Ancient 	고대 	translated	아이템 등급 접두어
Armor Class	방어력	translated	기존 MMMerge 능력치 용어
Bonus AC: 	추가 방어력: 	translated	스킬 설명
Bonus Resistances: 	추가 저항: 	translated	스킬 설명
Celestial 	천상의 	translated	아이템 등급 접두어
Dimension Map	차원 지도	translated	MAW 아이템명
Endless Potion	무한 물약	translated	MAW 아이템명
Endurance	인내력	translated	기존 MMMerge 능력치 용어
Greater Heal	대치유	translated	기존 MMMerge 주문 용어
Intellect	지능	translated	기존 MMMerge 능력치 용어
Legendary 	전설의 	translated	아이템 등급 접두어
Luck	운	translated	기존 MMMerge 능력치 용어
Potion Deleted in Austerity	절제 모드에서 삭제된 물약	translated	내부 대체 아이템 표시명
Potion Deleted in MAW	MAW에서 삭제된 물약	translated	내부 대체 아이템 표시명
Primordial 	태고의 	translated	아이템 등급 접두어
Repair skill	수리 기술	translated	기존 MMMerge 스킬 용어
Speed	민첩성	translated	기존 MMMerge 능력치 용어
You activated Nightmare Mode, monsters will be much stronger and you can't save nor teleport away from them, however, items found will be much stronger.\nLeaving a dungeon before killing most of them will cause monsters to respawn.\nClearing a dungeon will grant you extra rewards.\nRespawned monsters give less experience and loot, once True Nightmare is activated there is no way back, are you sure? (yes/no)	악몽 모드를 활성화했습니다. 몬스터가 훨씬 강해지고 전투 중 저장하거나 순간이동으로 빠져나갈 수 없지만, 발견하는 아이템도 훨씬 강력해집니다.\n던전의 몬스터 대부분을 처치하기 전에 떠나면 몬스터가 다시 생성됩니다.\n던전을 클리어하면 추가 보상을 받습니다.\n다시 생성된 몬스터는 경험치와 전리품을 적게 주며, 진정한 악몽을 활성화하면 되돌릴 수 없습니다. 정말 진행하시겠습니까? (yes/no 입력)	translated	yes/no 입력 토큰 보존
Wine Rack	와인 선반	translated	맵 힌트
\nBody Armor: 	\n갑옷: 	translated	연금술 아이템 보정치
\nBonus: 	\n보너스: 	translated	연금술 아이템 보정치
\nHelm-Boots-Gloves-Bow: 	\n투구-장화-장갑-활: 	translated	연금술 아이템 보정치
\nRings: 	\n반지: 	translated	연금술 아이템 보정치
  Mana: 	  마나: 	translated	멀티플레이 상태 표시
(client save) 	(클라이언트 저장) 	translated	멀티플레이 저장 선택
(current) 	(현재) 	translated	멀티플레이 저장 선택
(host save) 	(호스트 저장) 	translated	멀티플레이 저장 선택
(last choice) 	(마지막 선택) 	translated	멀티플레이 저장 선택
