source	translation	status	notes
\n\nLight Magic quickens the Seraphim's strikes, increasing attack speed.\n\nIts radiance lightens the blade so much that even a two-handed sword can be wielded in one hand, freeing the off hand for a shield.\n	\n\n빛 마법은 세라핌의 공격을 가속하여 공격 속도를 높입니다.\n\n그 빛은 칼날을 매우 가볍게 만들어 양손검도 한 손으로 사용할 수 있게 하며, 다른 손에는 방패를 들 수 있습니다.\n	translated	세라핌 빛 마법 설명
\n\nSeraph Spirit strengthens the Seraph's resolve, shrugging off light hits and softening heavy blows\n	\n\n세라프의 영혼은 세라프의 결의를 강화하여 가벼운 공격은 흘려내고 강한 공격의 피해를 줄입니다.\n	translated	세라프 영혼 설명
\n\nSeraphim damage upon attack increases depending on Mind magic, scaling with might(weapon speed and weapon damage multiplier applies).\n\n	\n\n세라핌의 공격 시 피해는 정신 마법에 따라 증가하고 힘에 비례합니다(무기 속도와 무기 피해 배율이 적용됩니다).\n\n	translated	세라핌 정신 마법 설명
\n\nSeraphim healing upon attack increases depending on Body magic, scaling with personality(weapon speed multiplier applies).\n\n	\n\n세라핌의 공격 시 회복량은 육체 마법에 따라 증가하고 인격에 비례합니다(무기 속도 배율이 적용됩니다).\n\n	translated	세라핌 육체 마법 설명
 (applied after resistances)\n	 (저항 적용 후 계산)\n	translated	세라프 피해 감소 설명 조각
Current damage from Mind: 	정신 마법으로 얻는 현재 피해: 	translated	세라핌 능력치 표시
Current heal from Body: 	육체 마법으로 얻는 현재 회복량: 	translated	세라핌 능력치 표시
Damage reduction: 	피해 감소: 	translated	세라프 능력치 표시
\t            %s%s 		excluded	서식 전용 문자열; 번역 금지
%6s		excluded	폭 지정 숫자 서식; 번역 금지
M/R/S:%s/%s/%s\n\n\n\n\n\n\n	근/원/주:%s/%s/%s\n\n\n\n\n\n\n	translated	근접/원거리/주문 위력 요약; 자리표시자 보존
M/R:%s/%s\n\n\n\n\n\n\n	근/원:%s/%s\n\n\n\n\n\n\n	translated	근접/원거리 위력 요약; 자리표시자 보존
\n\nBalancing power and vitality leads to the highest damage.\n	\n\n위력과 활력을 균형 있게 높이면 가장 높은 피해를 낼 수 있습니다.\n	translated	반격 기술 설명
\n\nPress M to enable/disable	\n\nM키로 활성화/비활성화	translated	기술 토글 안내
