source	translation	status	notes
Attack         +	근접         +	translated	능력치 패널 근접 공격 표시
Shoot         +	원거리         +	translated	능력치 패널 원거리 공격 표시
Crafting Item	제작 재료	translated	미감정 제작 아이템 이름
Mace	철퇴	translated	미감정 무기 이름
Goblin's Liutenant	고블린 부관	translated	몬스터 표시명; 원문 오탈자 유지
Cardinal of Baa	바의 추기경	translated	몬스터 표시명
High Cardinal	고위 추기경	translated	몬스터 표시명
Resurrected 	부활한 	translated	부활 몬스터 이름 접두어
%s		excluded	숫자 이름 string.format 서식 전용
Ascension	승천	translated	MAW 스킬명
Assassination	암살	translated	MAW 스킬명
Blood	혈마법	translated	죽음의 기사 스킬명
Combat	전투	translated	암살자 스킬명
Cover	엄호	translated	MAW 방어 스킬명
Enlightenment	깨달음	translated	MAW 마나 스킬명
Fangs	송곳니	translated	드래곤 스킬명
Frost	냉기	translated	죽음의 기사 스킬명
Mana Shield	마나 방패	translated	MAW 방어 스킬명
Misc	기타	translated	기타 기술 UI
Poisons	독	translated	암살자 스킬명
Retaliation	반격	translated	MAW 방어 스킬명
Scales	비늘	translated	드래곤 스킬명
Subtlety	기민함	translated	암살자 회피 스킬명
Unholy	사악함	translated	죽음의 기사 스킬명
% of Melee damage	% (근접 공격 피해 기준)	translated	연결형 주문 피해 설명 후행 조각
Adds %s + %s HP per point of skill to the pool	기술 포인트당 생명력 풀에 %s + %s 추가	translated	주문 숙련 설명
All spells cast at 1.5 times skill	모든 주문이 기술 수치의 1.5배로 적용됩니다	translated	주문 숙련 설명
All spells cast at 2 times skill	모든 주문이 기술 수치의 2배로 적용됩니다	translated	주문 숙련 설명
All stats increased by 10+1 per skill	모든 능력치가 10 + 기술 포인트당 1만큼 증가합니다	translated	주문 숙련 설명
All stats increased by 15+1.5 per skill	모든 능력치가 15 + 기술 포인트당 1.5만큼 증가합니다	translated	주문 숙련 설명
All stats increased by 20+2 per skill	모든 능력치가 20 + 기술 포인트당 2만큼 증가합니다	translated	주문 숙련 설명
Cures %s + %s HP per point of skill	기술 포인트당 생명력 %s + %s 회복	translated	주문 숙련 설명
Damage Increased to 	피해량: 	translated	연결형 주문 피해 설명
Damage increased to 	피해량: 	translated	연결형 주문 피해 설명
Deals damage equal to 	피해량: 	translated	연결형 주문 피해 설명
Deals damage equal to 100% of breath damage	숨결 피해의 100%만큼 피해	translated	주문 숙련 설명
Deals damage equal to 70% of breath damage	숨결 피해의 70%만큼 피해	translated	주문 숙련 설명
