source	translation	status	notes
Elder 	원로 	translated	클래스명 접두어
Ultimate 	궁극의 	translated	클래스명 접두어
Telelocator	텔레로케이터	translated	NPC 표시명
Absorb up to 25% damage	피해를 최대 25% 흡수합니다	translated	마나 방패 숙련 효과
Absorb up to 50% damage	피해를 최대 50% 흡수합니다	translated	마나 방패 숙련 효과
Absorb up to 75% damage	피해를 최대 75% 흡수합니다	translated	마나 방패 숙련 효과
All damage is absorbed by mana	모든 피해를 마나로 흡수합니다	translated	마나 방패 숙련 효과
Allow use to Cover Projectiles damage	투사체 피해도 엄호할 수 있습니다	translated	엄호 숙련 효과
Attacking will increase you next Cover chance by 15%	공격하면 다음 엄호 확률이 15% 증가합니다	translated	엄호 숙련 효과
Double healing effect	회복 효과가 2배가 됩니다	translated	스킬 숙련 효과
Increase your regeneration by 1% per every 1% of hp lost	잃은 생명력 1%마다 재생량이 1% 증가합니다	translated	재생 숙련 효과
Increased Attack speed by 1% per Skill	기술 포인트당 공격 속도가 1% 증가합니다	translated	스킬 숙련 효과
Increased Attack speed by 2% per Skill	기술 포인트당 공격 속도가 2% 증가합니다	translated	스킬 숙련 효과
Increased Attack speed by 3% per Skill	기술 포인트당 공격 속도가 3% 증가합니다	translated	스킬 숙련 효과
Increased Attack speed by 4% per Skill	기술 포인트당 공격 속도가 4% 증가합니다	translated	스킬 숙련 효과
Increases damage by 2 per Skill point	기술 포인트당 피해량이 2 증가합니다	translated	스킬 숙련 효과
Increases damage by 3 per Skill point	기술 포인트당 피해량이 3 증가합니다	translated	스킬 숙련 효과
Increases damage by 4 per Skill point	기술 포인트당 피해량이 4 증가합니다	translated	스킬 숙련 효과
Increases your maximum energy by 10	최대 에너지가 10 증가합니다	translated	스킬 숙련 효과
Increases your maximum energy by 20	최대 에너지가 20 증가합니다	translated	스킬 숙련 효과
Increases your maximum energy by 30	최대 에너지가 30 증가합니다	translated	스킬 숙련 효과
Increases your maximum energy by 40	최대 에너지가 40 증가합니다	translated	스킬 숙련 효과
Killing a monster restores 10 energy	몬스터 처치 시 에너지 10을 회복합니다	translated	스킬 숙련 효과
Killing a monster restores 15 energy	몬스터 처치 시 에너지 15를 회복합니다	translated	스킬 숙련 효과
Killing a monster restores 20 energy	몬스터 처치 시 에너지 20을 회복합니다	translated	스킬 숙련 효과
Killing a monster restores 25 energy	몬스터 처치 시 에너지 25를 회복합니다	translated	스킬 숙련 효과
Mana is increased by 2% per skill level, cost divisor increased by 0.5	기술 레벨당 마나가 2% 증가하고 소모 비용 제수가 0.5 증가합니다	translated	깨달음 숙련 효과
Mana is increased by 3% per skill level, cost divisor increased by 1	기술 레벨당 마나가 3% 증가하고 소모 비용 제수가 1 증가합니다	translated	깨달음 숙련 효과
Mana is increased by 4% per skill level, cost divisor increased by 1.5	기술 레벨당 마나가 4% 증가하고 소모 비용 제수가 1.5 증가합니다	translated	깨달음 숙련 효과
Mana is increased by 5% per skill level, cost divisor increased by 2	기술 레벨당 마나가 5% 증가하고 소모 비용 제수가 2 증가합니다	translated	깨달음 숙련 효과
