source	translation	status	notes
Damage\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n	피해\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n	translated	줄바꿈 포함 능력치 UI
\n\nMaster will grant 1% to drop random reagents from Monsters.\nAt GM this chance is doubled.	\n\n마스터 단계에서는 몬스터에게서 무작위 재료가 떨어질 확률이 1% 생깁니다.\n그랜드마스터 단계에서는 이 확률이 두 배가 됩니다.	translated	연금술 기술 설명
\nThe paralyze effect lasts for 5 seconds on regular monsters and 2 seconds on bosses. The stun effect lasts for half the duration of the paralyze effect. The chances of successfully applying these effects depend on the skill level and the monster's level.\n	\n일반 몬스터에게는 마비가 5초, 보스에게는 2초 동안 지속됩니다. 기절은 마비 지속시간의 절반 동안 지속됩니다. 효과 적용 확률은 기술 레벨과 몬스터 레벨에 따라 달라집니다.\n	translated	철퇴 기술 추가 설명
\nThis skill increases the damage gained from weapon +1 per skill point in the bow skill, by a percentage when equipping a bow.\n	\n활을 장비하면 활 기술의 포인트당 무기 +1 피해로 얻는 피해 증가량이 일정 비율만큼 증가합니다.\n	translated	활 기술 추가 설명
\nThis skill increases the damage gained from weapon by a percentage when equipping a staff.\nAt Grandmaster can combine staff and unarmed skill, increasing its damage with staff skill at half effect.\n\nYour full Staff Attack boosts AC and all Resistances by X% per skill point, counting an extra +10 points of skill. Resistances apply to the entire party.\n	\n지팡이를 장비하면 무기로 얻는 피해가 일정 비율만큼 증가합니다.\n그랜드마스터 단계에서는 지팡이와 맨손 전투 기술을 함께 적용할 수 있으며, 지팡이 기술은 절반의 효율로 피해를 증가시킵니다.\n\n전체 지팡이 공격 수치는 기술 포인트당 방어력과 모든 저항을 X% 높이며, 유효 기술에 +10이 추가됩니다. 저항 보너스는 파티 전체에 적용됩니다.\n	translated	지팡이 기술 추가 설명
\nThis skill increases the damage gained from weapon, armsmaster, and special abilities by a percentage when equipping a dagger.\nCrit chance will get lower as monsters grow stronger, up to level 600.	\n단검을 장비하면 무기, 무기 전문가, 특수 능력으로 얻는 피해가 일정 비율만큼 증가합니다.\n몬스터가 강해질수록 치명타 확률이 낮아지며, 이 보정은 600레벨까지 적용됩니다.	translated	단검 기술 추가 설명
\nThis skill increases the damage gained from weapon, armsmaster, and special abilities by a percentage when equipping a mace.\n	\n철퇴를 장비하면 무기, 무기 전문가, 특수 능력으로 얻는 피해가 일정 비율만큼 증가합니다.\n	translated	철퇴 기술 추가 설명
\nThis skill increases the damage gained from weapon, armsmaster, and special abilities by a percentage when equipping a spear.\n\nSpear skill raises AC by X% per skill point, counting an extra +10 effective skill.\n	\n창을 장비하면 무기, 무기 전문가, 특수 능력으로 얻는 피해가 일정 비율만큼 증가합니다.\n\n창 기술은 기술 포인트당 방어력을 X% 높이며, 유효 기술에 +10이 추가됩니다.\n	translated	창 기술 추가 설명
\nThis skill increases the damage gained from weapon, armsmaster, and special abilities by a percentage when equipping a sword.\n\nYour full Sword Attack boosts AC by X% per skill point, counting an extra +10 points of skill.\n	\n검을 장비하면 무기, 무기 전문가, 특수 능력으로 얻는 피해가 일정 비율만큼 증가합니다.\n\n전체 검 공격 수치는 기술 포인트당 방어력을 X% 높이며, 유효 기술에 +10이 추가됩니다.\n	translated	검 기술 추가 설명
\nThis skill increases the damage gained from weapon, armsmaster, and special abilities by a percentage when equipping an axe.\n	\n도끼를 장비하면 무기, 무기 전문가, 특수 능력으로 얻는 피해가 일정 비율만큼 증가합니다.\n	translated	도끼 기술 추가 설명
After mastering the art of covering, you have become capable delivering deadly counter attacks to those who dare try harm your allies. Retaliation has a 1% per skill point chance to activate after successfully covering an ally.\n\nExpert, Master and Grandmaster are learned automatically at skill 12, 30 and 50.\n	엄호의 경지에 이르러 동료를 해치려는 적에게 치명적인 반격을 가할 수 있게 되었습니다. 반격은 동료 엄호에 성공한 뒤 기술 포인트당 1% 확률로 발동합니다.\n\n전문가, 마스터, 그랜드마스터 단계는 기술 레벨 12, 30, 50에서 자동으로 습득합니다.\n	translated	반격 기술 설명
Allow use to Cover Physical damage\n	물리 피해를 엄호할 수 있습니다\n	translated	엄호 숙련 효과
Armsmaster skill represents the warrior's tricks of the trade, enhancing your proficiency with all weapons-except staves.\nThis skill allows you to strike faster, execute smoother attacks, and deal more powerful blows.\n\nDamage added by armsmaster skill scales with your weapon skill, amplifying its impact as you grow more adept.\n	무기 전문가 기술은 전사의 노련한 전투 기법을 나타내며, 지팡이를 제외한 모든 무기의 숙련도를 강화합니다.\n이 기술은 더 빠르고 매끄럽게 공격하며 더 강력한 타격을 가할 수 있게 합니다.\n\n무기 전문가 기술이 더하는 피해는 무기 기술에 비례하므로 숙련될수록 효과가 커집니다.\n	translated	무기 전문가 기술 설명
Chain armor is the medium armor type.  It provides more protection than leather and less than plate, but it also slows your character down more than leather.\n\nChain Armor Skill boosts the AC and Resistances gained by ALL armors when equipping a Chain Armor by a percent amount.	사슬 갑옷은 중간 무게의 방어구입니다. 가죽 갑옷보다 보호력이 높고 판금 갑옷보다는 낮지만, 가죽 갑옷보다 행동을 더 느리게 만듭니다.\n\n사슬 갑옷을 장비하면 사슬 갑옷 기술이 모든 방어구에서 얻는 방어력과 저항을 일정 비율만큼 높입니다.	translated	사슬 갑옷 기술 설명
Combat is the skill that allows you to endure prolonged fights by enhancing your energy recovery.\n\nEach attack has a base 10% chance, plus 1% per skill point, to restore 15 energy.\n\n	전투 기술은 에너지 회복을 강화하여 장기전에 버틸 수 있게 합니다.\n\n공격할 때마다 기본 10%에 기술 포인트당 1%를 더한 확률로 에너지 15를 회복합니다.\n\n	translated	전투 기술 설명
Cover Skill is a defensive prowess enabling a character to shield allies by intercepting incoming damage. This ability strategically positions the user as the primary target of enemy onslaughts, thereby protecting teammates who are more susceptible to damage.\n\nGrants 10 plus 1% chance per skill point to Cover an ally, up to 40%, however, something might happen once at max level...\n\n\nPress P to enable/disable\n	엄호는 아군에게 향하는 피해를 대신 받아 동료를 보호하는 방어 기술입니다. 사용자는 적의 공격을 자신에게 집중시켜 피해에 취약한 동료를 지킵니다.\n\n아군을 엄호할 확률은 기본 10%에 기술 포인트당 1%가 추가되며 최대 40%입니다. 다만 최대 레벨에 도달하면 무언가가 일어날 수도 있습니다...\n\n\nP키로 활성화/비활성화\n	translated	엄호 기술 설명
Leather armor is the lightest armor a character can wear.  While leather provides less protection than chain or plate armor, it also slows your character down the least.\n\nLeather Armor Skill boosts the AC and Resistances gained by ALL armors when equipping a Leather Armor by a percent amount.	가죽 갑옷은 착용할 수 있는 가장 가벼운 방어구입니다. 사슬이나 판금 갑옷보다 보호력은 낮지만 행동 속도 감소도 가장 적습니다.\n\n가죽 갑옷을 장비하면 가죽 갑옷 기술이 모든 방어구에서 얻는 방어력과 저항을 일정 비율만큼 높입니다.	translated	가죽 갑옷 기술 설명
Mana shield consume mana to reduce damage when an hit would take you below a certain threshold.\n\nIf available, Expert, Master and Grandmaster is learned at skill 6-12-20 (8-20-32 in insanity mode).\n\nMastery increase its mana efficience.\n	마나 방패는 공격을 받아 생명력이 일정 기준 아래로 내려가려 할 때 마나를 소모하여 피해를 줄입니다.\n\n가능한 경우 전문가, 마스터, 그랜드마스터 단계는 기술 레벨 6-12-20에서 습득합니다(광기 모드에서는 8-20-32).\n\n숙련도가 높을수록 마나 효율이 증가합니다.\n	translated	마나 방패 기술 설명
Plate armor is the heaviest armor type.  It provides the most protection, but it slows your character down more than leather or chain.\n\nPlate Armor Skill boosts the AC and Resistances gained by ALL armors when equipping a Plate Armor by a percent amount.	판금 갑옷은 가장 무거운 방어구입니다. 가장 높은 보호력을 제공하지만 가죽이나 사슬 갑옷보다 행동을 더 느리게 만듭니다.\n\n판금 갑옷을 장비하면 판금 갑옷 기술이 모든 방어구에서 얻는 방어력과 저항을 일정 비율만큼 높입니다.	translated	판금 갑옷 기술 설명
Poisoning is the art of mastering toxins through self-experimentation, transforming suffering into vitality. Higher skill levels increase your energy regeneration.\n\nEach attack deals bonus water damage equal to 0.1% of the target's HP per skill point.\n\n	독은 스스로 독을 시험하며 독성을 다루는 법을 익혀 고통을 활력으로 바꾸는 기술입니다. 기술 레벨이 높을수록 에너지 재생이 증가합니다.\n\n공격할 때마다 기술 포인트당 대상 생명력의 0.1%에 해당하는 추가 물 피해를 줍니다.\n\n	translated	독 기술 설명
Shield skill provides great defense against both physical and magical attacks.\n\nShield Skill boosts the AC and Resistances gained from your Shield  by a percent amount.	방패 기술은 물리 공격과 마법 공격 모두에 뛰어난 방어력을 제공합니다.\n\n방패 기술은 방패에서 얻는 방어력과 저항을 일정 비율만큼 높입니다.	translated	방패 기술 설명
Subtlety manipulates the boundary between life and death, granting you energy upon killing enemies and increasing your speed.\n\nEnergy consuming attack grants 1 stack, which increase your attack speed by 1% per skill point in Subtlety. Stacks up to 5 times.\n\n	교묘함은 삶과 죽음의 경계를 다루어 적을 처치할 때 에너지를 얻고 속도를 높입니다.\n\n에너지를 소모하는 공격은 중첩 1회를 부여하며, 중첩당 교묘함 기술 포인트마다 공격 속도가 1% 증가합니다. 최대 5회 중첩됩니다.\n\n	translated	교묘함 기술 설명
Unlock the true potential of your mana reserves with Enlightenment, a transformative skill that increases your mana pool and reduces mana reserved by buffs, empowering you to cast more freely and frequently.\n\nThe cost of buffs is divided by the amount of mana you gain per level. As you reach higher mastery levels, the divisor increases, but your total mana pool remains the same.\n\nIf available, Expert, Master and Grandmaster is learned at skill 6-12-20.\n	깨달음은 마나의 잠재력을 끌어내 최대 마나를 늘리고 버프가 예약하는 마나를 줄여 주문을 더 자유롭고 자주 사용할 수 있게 합니다.\n\n버프 비용은 레벨당 얻는 마나량을 기준으로 나뉩니다. 숙련도가 높아질수록 나누는 값은 커지지만 전체 마나량은 변하지 않습니다.\n\n가능한 경우 전문가, 마스터, 그랜드마스터 단계는 기술 레벨 6-12-20에서 습득합니다.\n	translated	깨달음 기술 설명
%s Mana cost: \ncures %s + %s HP per point of skill	마나 소모: %s\n기술 포인트당 생명력 %s + %s 회복	translated	치유 주문 숙련 설명
%s Mana cost: \ncures %s + %s HP per point of skill\n1 day limit\n	마나 소모: %s\n기술 포인트당 생명력 %s + %s 회복\n제한 시간 1일\n	translated	치유 주문 숙련 설명
%s Mana cost: \ncures %s + %s HP per point of skill\nno limit\n	마나 소모: %s\n기술 포인트당 생명력 %s + %s 회복\n시간 제한 없음\n	translated	치유 주문 숙련 설명
16 Mana cost: \ncures 36 + 6 HP per point of skill\nno limit\n	마나 소모: 16\n기술 포인트당 생명력 36 + 6 회복\n시간 제한 없음\n	translated	치유 주문 숙련 설명
5 Mana cost: \ncures 12 + 2 HP per point of skill\n1 hour limit\n	마나 소모: 5\n기술 포인트당 생명력 12 + 2 회복\n제한 시간 1시간\n	translated	치유 주문 숙련 설명
8 Mana cost: \ncures 24 + 4 HP per point of skill\n1 day limit\n	마나 소모: 8\n기술 포인트당 생명력 24 + 4 회복\n제한 시간 1일\n	translated	치유 주문 숙련 설명
Assassination focuses on eliminating isolated targets before they react. Attacks that spend energy or spells, have your damage increased by 4-6-8-10 per skill point, reduced by 20% for each target's nearby enemy (up to 4 enemies).\nSuch attacks also grant 1 combo point, allowing the assassin to cast offensive spells.\nBow has 50% chance and energy cost.\n\nHigher levels also grant more starting energy, ideal for high burst damage in short engagements.\n\n	암살은 고립된 대상을 반응하기 전에 제거하는 데 특화된 기술입니다. 에너지를 소모하는 공격이나 주문은 기술 포인트당 피해가 4-6-8-10 증가하지만, 대상 주변의 적 하나당 효과가 20% 감소합니다(최대 4명).\n이런 공격은 콤보 포인트 1을 부여하여 암살자가 공격 주문을 사용할 수 있게 합니다.\n활 공격은 50% 확률로 적용되며 에너지를 소모합니다.\n\n기술 레벨이 높을수록 시작 에너지도 증가하여 짧은 전투에서 강력한 순간 화력을 내기 좋습니다.\n\n	translated	암살 기술 설명
Dragons are powerful creatures with innate abilities.\nLike the racial abilities of Dark Elves and Vampires, Dragon abilities are cast like spells, but are acquired like skills. Dragons begin able to cast Fear, the gain a second breath weapon, Flight and Wing Bugget at expert, master and grandmaster rankings.\n\nBreath damage is 20 + 2 per level (up to level 600, or 900 in madness) and total damage is increased by 	드래곤은 타고난 능력을 지닌 강력한 생물입니다.\n다크 엘프와 뱀파이어의 종족 능력처럼 드래곤 능력은 주문처럼 사용하지만 기술처럼 습득합니다. 드래곤은 처음부터 공포를 사용할 수 있고, 전문가·마스터·그랜드마스터 단계에서 두 번째 브레스 무기, 비행, 윙 버핏을 차례로 얻습니다.\n\n브레스 피해는 레벨당 20 + 2이며(최대 600레벨, 광기에서는 900레벨), 총 피해 증가율은 	translated	드래곤 능력 설명 앞부분
Effects vary per spell \n\n	효과는 주문마다 다릅니다.\n\n	translated	원소술사 숙련 설명
Elementalists learn new spells with practice instead of books.\n\nAll the available spells of this school have been learned.	원소술사는 책 대신 실전을 통해 새로운 주문을 익힙니다.\n\n이 계통에서 배울 수 있는 주문을 모두 습득했습니다.	translated	원소술사 주문 학습 설명
Elementalists learn new spells with practice instead of books.\n\nProgress toward learning 	원소술사는 책 대신 실전을 통해 새로운 주문을 익힙니다.\n\n다음 주문 습득 진행도: 	translated	원소술사 주문 학습 설명 조각
Increases spell damage and healing at the expense of higher mana cost and cast time.\n	마나 소모량과 시전 시간이 늘어나는 대신 주문 피해와 치유량이 증가합니다.\n	translated	승천 기술 설명
\n\nControl Spell duration is reduced by monster resistances but increased by Ascension; Recovery time is reduced by Spell Skill. Duration shown is against 	\n\n제어 주문의 지속시간은 몬스터 저항에 따라 감소하고 승천에 따라 증가합니다. 회복 시간은 주문 기술에 따라 감소합니다. 표시된 지속시간은 저항 	translated	제어 주문 툴팁 조각
\n\nExpert has 1 hour limit per skill point, Master has 1 day per skill point, Grand has not time limit.	\n\n전문가는 기술 포인트당 1시간, 마스터는 기술 포인트당 1일의 제한이 있으며 그랜드마스터는 시간 제한이 없습니다.	translated	치유 주문 제한 설명
\n\nRecovery time: 	\n\n회복 시간: 	translated	주문 툴팁 조각
\n\nThis Ability requires 	\n\n이 능력을 사용하려면 콤보 포인트 	translated	암살 능력 툴팁 조각
 resistance. Control duration against bosses is halved.\n\nRecovery time: 	인 대상을 기준으로 합니다. 보스에게는 제어 지속시간이 절반으로 줄어듭니다.\n\n회복 시간: 	translated	제어 주문 툴팁 조각
A lethal explosion dealing huge damage to all monsters in the area. Can be used safely also in close combat.\nDeals damage equal to 	치명적인 폭발을 일으켜 범위 내 모든 몬스터에게 막대한 피해를 줍니다. 근접전에서도 안전하게 사용할 수 있습니다.\n피해량은 무기 피해의 	translated	죽음의 숨결 설명 조각
Fires a rotating, razor-thin metal blade at a single monster.  The blade does %s%% of a melee attack damage.\n\nBlades is the only spell capable to deal Physical damage.	회전하는 면도날처럼 얇은 금속 칼날을 몬스터 하나에게 발사합니다. 칼날은 근접 공격 피해의 %s%%만큼 피해를 줍니다.\n\n칼날은 물리 피해를 줄 수 있는 유일한 주문입니다.	translated	칼날 주문 설명
Fires a rotating, razor-thin metal blade at a single monster.  The blade does 1-%s points of damage per point of skill in Earth Magic.\n\nBlades is the only spell capable to deal Physical damage.	회전하는 면도날처럼 얇은 금속 칼날을 몬스터 하나에게 발사합니다. 칼날은 대지 마법 기술 포인트당 1-%s의 피해를 줍니다.\n\n칼날은 물리 피해를 줄 수 있는 유일한 주문입니다.	translated	칼날 주문 설명
Grants the power of flight to your characters!  This spell is very expensive and only works outdoors, but it is very useful.  Fly will drain one spell point every five minutes it is in use (i.e. when you aren't touching the ground).\n\nAt higher difficulties, with the exception of few places, attacking monsters will cancel the effect	캐릭터들에게 비행 능력을 부여합니다! 이 주문은 비용이 매우 높고 야외에서만 작동하지만 매우 유용합니다. 비행 중에는(땅에 닿지 않은 동안) 5분마다 주문력 1을 소모합니다.\n\n고난도에서는 일부 지역을 제외하고 몬스터를 공격하면 효과가 해제됩니다.	translated	비행 주문 설명
Heroism increases the damage a character does on a successful attack by 10 + 1 point per point of skill in Spirit Magic. This spell affects the entire party at once.\nLasts for 2 hours plus 1 hour per point of skill	영웅심은 공격 명중 시 주는 피해를 10 + 정신 마법 기술 포인트당 1만큼 증가시킵니다. 이 주문은 파티 전체에 적용됩니다.\n기본 2시간에 기술 포인트당 1시간 동안 지속됩니다.	translated	영웅심 주문 설명
Lightning Bolt discharges electricity from the caster's hand to a single target.  It always hits and does %s points plus 1-%s points of damage per point of skill in Air Magic.\n\nThe spell then arcs to a second target, hitting it as well.	번개 화살은 시전자의 손에서 대상 하나에게 전기를 방출합니다. 항상 명중하며 공기 마법 기술 포인트당 %s + 1-%s의 피해를 줍니다.\n\n그 후 번개가 두 번째 대상으로 튀어 추가로 명중합니다.	translated	번개 화살 주문 설명
Lightning Bolt discharges electricity from the caster's hand to a single target.  It always hits and does %s%% of a melee attack damage.\n\nThe spell then arcs to a second target, hitting it as well.	번개 화살은 시전자의 손에서 대상 하나에게 전기를 방출합니다. 항상 명중하며 근접 공격 피해의 %s%%만큼 피해를 줍니다.\n\n그 후 번개가 두 번째 대상으로 튀어 추가로 명중합니다.	translated	암살자 번개 화살 설명
Throw an ice bomb that shatters upon hitting something, most effective versus big foes or multiple enemies.\nDeals damage equal to 	충돌하면 산산이 부서지는 얼음 폭탄을 던집니다. 큰 적이나 여러 적을 상대할 때 특히 효과적입니다.\n피해량은 현재 무기 피해의 	translated	얼음 폭탄 설명 조각
