source	translation	status	notes
 atk	 공격	translated	무기 전문가 숙련 설명 조각
 atk, 	 공격, 	translated	무기 전문가 숙련 설명 조각
 dmg and 	 피해, 	translated	무기 전문가 숙련 설명 조각
 dmg, 	 피해, 	translated	무기 전문가 숙련 설명 조각
%% speed	%% 속도	translated	무기 전문가 숙련 설명 조각
%s 0.5%% dodge chance	%s 회피 확률 +0.5%%	translated	회피 그랜드마스터 효과
%s 1%% to halve AC and increases critical strike damage by 5%% per skill point, reduced up to 1%% as monsters get stronger	%s 방어력을 절반으로 만들 확률 1%%, 기술 포인트당 치명타 피해 +5%%. 몬스터가 강해질수록 효과 확률 감소	translated	도끼 그랜드마스터 효과
%s 1%% to stun	%s 기절 확률 +1%%	translated	지팡이 마스터 효과
%s 15%% Damage reduction	%s 피해 감소 15%%	translated	방패 그랜드마스터 효과
%s 2 arrows	%s 화살 2발 발사	translated	활 마스터 효과
%s 5+1 crit%%/skill	%s 치명타 확률 5+1%%/기술	translated	단검 마스터 효과
%s can dual wield	%s 쌍수 무기 사용 가능	translated	단검 숙련 효과
%s can hold with 1 hand	%s 한 손으로 사용 가능	translated	창 마스터 효과
%s chance to paralyze	%s 마비 확률	translated	철퇴 그랜드마스터 효과
%s chance to stun	%s 기절 확률	translated	철퇴 마스터 효과
%s rec. pen. elim.	%s 회복 페널티 제거	translated	판금 숙련 축약 효과
%s rec. pen. halved	%s 회복 페널티 절반	translated	판금 숙련 축약 효과
%s recovery penalty eliminated	%s 회복 페널티 제거	translated	방어구 숙련 효과
%s recovery penalty halved	%s 회복 페널티 절반	translated	사슬 갑옷 숙련 효과
%s shoots fire arrows, dealing highest between fire and physical damage	%s 화염 화살을 발사하며 화염 피해와 물리 피해 중 더 높은 피해 적용	translated	활 그랜드마스터 효과
%s usable with Leather Armor	%s 가죽 갑옷 착용 시 사용 가능	translated	회피 마스터 효과
%s usable with Unarm.	%s 맨손 전투와 함께 사용 가능	translated	지팡이 그랜드마스터 효과
Allows to make black potions. Power when mixing will be increased to 2 and increases potion duration by 6 Minutes per skill point. Allows the Endless potion to be dropped by monsters, which power is determined by Alchemy level.	검은 물약을 만들 수 있습니다. 혼합 시 위력이 2배로 증가하며 기술 포인트당 물약 지속시간이 6분 증가합니다. 몬스터에게서 무한 물약이 떨어질 수 있으며, 그 위력은 연금술 레벨에 따라 결정됩니다.	translated	연금술 그랜드마스터 효과
Allows to make white potions. Power when mixing will be increased to 1.5 per skill point.	흰색 물약을 만들 수 있습니다. 혼합 시 위력이 기술 포인트당 1.5만큼 증가합니다.	translated	연금술 마스터 효과
Mana cost reduced by 12.5%.	마나 소모량 12.5% 감소.	translated	승천 숙련 효과
Mana cost reduced by 25%	마나 소모량 25% 감소	translated	승천 숙련 효과
Mana cost reduced by 37.5%	마나 소모량 37.5% 감소	translated	승천 숙련 효과
Mana cost reduced by 50%	마나 소모량 50% 감소	translated	승천 숙련 효과
Reduces traps and lava damage by 10%.	함정과 용암 피해가 10% 감소합니다.	translated	지각 숙련 효과
Reduces traps and lava damage by 30%.	함정과 용암 피해가 30% 감소합니다.	translated	지각 숙련 효과
Reduces traps and lava damage by 50%.	함정과 용암 피해가 50% 감소합니다.	translated	지각 숙련 효과
Reduces traps and lava damage by 70%.	함정과 용암 피해가 70% 감소합니다.	translated	지각 숙련 효과
Skills adds 	기술 보너스: 	translated	무기 전문가 숙련 설명 조각
%s\n\t070Each spear attack reduces physical resistance, increasing damage by: %s%%\nIncreased by 50%% with Halberds	%s\n\t070창 공격마다 물리 저항을 감소시켜 피해 증가: %s%%\n미늘창 사용 시 50%% 증가	translated	창 그랜드마스터 설명
