source	translation	status	notes
%s    %s		excluded	스킬 설명 정렬용 서식 문자열
Dragons scales are hard enough to work as natural armor, gaining naturally 40 + 1 AC per level (up to level 600).\nScales further enhance their toughness and resistance to magical damage, increasing the thoughness by a percentage.\n\n------------------------------------------------------------\n          AC%| Res%	드래곤의 비늘은 천연 갑옷 역할을 할 만큼 단단하며, 레벨당 40 + 1의 방어력을 얻습니다(최대 600레벨).\n비늘 기술은 강인함과 마법 피해 저항을 더욱 높여 방어력을 일정 비율만큼 증가시킵니다.\n\n------------------------------------------------------------\n          방어%| 저항%	translated	드래곤 비늘 기술 설명
\n\nEvery 7 Skill level adds 1 level into ascension.\nIncreases melee damage 1-2-3-4 (at N-E-M-GM) per Earth Magic Level\n	\n\n기술 레벨이 7 오를 때마다 승천 레벨이 1 증가합니다.\n대지 마법 레벨당 근접 피해가 1-2-3-4(초보-전문가-마스터-그랜드마스터) 증가합니다.\n	translated	승천 대지 마법 설명
\n\nEvery 7 Skill level adds 1 level into ascension.\nMelee attacks deal an extra 	\n\n기술 레벨이 7 오를 때마다 승천 레벨이 1 증가합니다.\n근접 공격은 몬스터 생명력의 	translated	승천 화염 마법 설명 앞부분
\n\nEvery 7 Skill level adds 1 level into ascension.\nReduce all damage taken by 	\n\n기술 레벨이 7 오를 때마다 승천 레벨이 1 증가합니다.\n받는 모든 피해 감소: 	translated	승천 피해 감소 설명 앞부분
\n\nHit Points are also increased 2-3-4-5% per skill point, depending on mastery.	\n\n숙련도에 따라 기술 포인트당 생명력이 2-3-4-5% 추가로 증가합니다.	translated	생명력 기술 설명 추가문
\n\nMelee Life Leech vs equal level: %s\nNext Level Bonus: %s\n(lower against higher level monsters)	\n\n동일 레벨 대상 근접 흡혈: %s\n다음 레벨 보너스: %s\n(더 높은 레벨의 몬스터에게는 효과 감소)	translated	흡혈 기술 동적 설명
\n------------------------------------------------------------\n            Attack| Dmg|	\n------------------------------------------------------------\n            공격| 피해|	translated	드래곤 송곳니 표 머리글
 Hit Points\n	 생명력\n	translated	승천 생명력 회복 설명 후행 조각
%\n\nAdditionally it will make your attacks to leech damage based on your total HP.\n\nCurrent leech vs. same level monsters: 	%\n\n추가로 총 생명력에 비례하여 공격 시 생명력을 흡수합니다.\n\n동일 레벨 몬스터 대상 현재 흡혈량: 	translated	죽음의 기사 혈마법 설명 후행 조각
% of monster Hit points as fire damage.	%만큼 추가 화염 피해를 줍니다.	translated	승천 화염 피해 설명 후행 조각
%s\t		excluded	스킬 설명 표 정렬용 서식 문자열
%s\n\nCurrent bonuses at skill %s:\n- Damage base: %s\n- Damage scaling: %s\n\n- Healing base: %s\n- Healing scaling: %s\n\n- Mana cost: %s\n- Cast time: %s\n	%s\n\n기술 %s의 현재 보너스:\n- 기본 피해: %s\n- 피해 배율: %s\n\n- 기본 치유량: %s\n- 치유 배율: %s\n\n- 마나 소모: %s\n- 시전 시간: %s\n	translated	승천 현재 보너스 설명
(calculated after resistances)\n	(저항 적용 후 계산)\n	translated	승천 피해 감소 설명 후행 조각
Chance to Paralyze: 	마비 확률: 	translated	철퇴 마비 확률 표시
Current Reduction: 	현재 피해 감소: 	translated	죽음의 기사 피해 감소 표시
Dragons can use their fangs to deal atrocious damage to enemies. Damage is 30 + 2 per level (up to level 600). Fang skill increases this amount by a percentage based on mastery and skill level.\n\nWhenever this skill is below dragon skill it will push monsters away\nEach point in the skill increases damage and increases recovery time by 1.5%.\n	드래곤은 송곳니로 적에게 끔찍한 피해를 줄 수 있습니다. 피해량은 30 + 레벨당 2입니다(최대 600레벨). 송곳니 기술은 숙련도와 기술 레벨에 따라 이 피해를 일정 비율만큼 증가시킵니다.\n\n송곳니 기술이 드래곤 기술보다 낮으면 공격 시 몬스터를 밀쳐냅니다.\n기술 포인트마다 피해가 증가하고 회복 시간이 1.5% 증가합니다.\n	translated	드래곤 송곳니 기술 설명
Skills adds 3 dmg, 3 atk, 2% speed\nEach 10 points in armsmaster increase all the melee weapon skills by 1	기술 보너스: 피해 3, 공격 3, 속도 2%\n무기 전문가 기술 10포인트마다 모든 근접 무기 기술이 1 증가합니다.	translated	무기 전문가 동적 설명
This skill is only available to death knights and increases damage by 0.5-1-1.5 (at Novice, Expert, Master) and increases attack speed by 2% per skill point.\n	죽음의 기사만 사용할 수 있는 기술입니다. 피해가 0.5-1-1.5(초보-전문가-마스터) 증가하고 기술 포인트당 공격 속도가 2% 증가합니다.\n	translated	죽음의 기사 냉기 기술 설명
This skill is only available to death knights and increases damage by 0.5-1-1.5 (at Novice, Expert, Master) and reduces magical damage taken.\n	죽음의 기사만 사용할 수 있는 기술입니다. 피해가 0.5-1-1.5(초보-전문가-마스터) 증가하고 받는 마법 피해가 감소합니다.\n	translated	죽음의 기사 사악함 기술 설명
This skill is only available to death knights and reduces physical damage taken.\n	죽음의 기사만 사용할 수 있는 기술입니다. 받는 물리 피해가 감소합니다.\n	translated	죽음의 기사 혈마법 기술 설명
\n\nEvery 7 Skill level adds 1 level into ascension.\nIncreases melee damage by 	\n\n기술 레벨이 7 오를 때마다 승천 레벨이 1 증가합니다.\n근접 피해 증가: 	translated	승천 근접 피해 설명 앞부분
\n\nEvery 7 Skill level adds 1 level into ascension.\nMelee attacks restore 	\n\n기술 레벨이 7 오를 때마다 승천 레벨이 1 증가합니다.\n근접 공격 시 회복: 	translated	승천 회복 설명 앞부분
 Spell Points\n	 주문력\n	translated	승천 주문력 회복 설명 후행 조각
