source	translation	status	notes
Increases Armor Class  by 5+(0.5 x Power) for 6 Hours	6시간 동안 방어력이 5 + (0.5 × 위력)만큼 증가합니다.	translated	물약 효과 툴팁
Grant 1 enchant to an unenchanted item, based on potion Power.\nRequire at least 20 power to work.\n	물약 위력에 따라 마법이 부여되지 않은 아이템에 마법부여 효과 1개를 추가합니다.\n작동하려면 위력이 최소 20 필요합니다.\n	translated	물약 효과 툴팁
Increases item's roughness, making it more resistant to breaking.\n	아이템의 내구성을 높여 파손에 더 잘 견디게 합니다.\n	translated	물약 효과 툴팁
Recipes:\nAdd Red: Bless\nAdd Blue: Regeneration\nAdd Yellow: Harden Item\nAdd Orange: Stone to Flesh\nAdd Purple: Enchant Item	조합법:\n빨강 추가: 축복\n파랑 추가: 재생\n노랑 추가: 아이템 경화\n주황 추가: 석화 해제\n보라 추가: 아이템 마법부여	translated	물약 조합법
Recipes:\nAdd Red: Heroism\nAdd Blue: Meditation\nAdd Yellow: Water Breathing\nAdd Orange: Magic Protection\nAdd Green: Enchant Item	조합법:\n빨강 추가: 영웅심\n파랑 추가: 명상\n노랑 추가: 수중 호흡\n주황 추가: 마법 보호\n초록 추가: 아이템 마법부여	translated	물약 조합법
Adds 'of Swiftness' property to a non-magic weapon.\nRequire 40 power to work.\n	마법이 부여되지 않은 무기에 '신속의' 속성을 추가합니다.\n작동하려면 위력 40이 필요합니다.\n	translated	물약 효과 툴팁
Adds a random tier 2 elemental damage enchant to a weapon\nRequire 40 power to work.\n	무기에 무작위 2단계 원소 피해 마법부여를 추가합니다.\n작동하려면 위력 40이 필요합니다.\n	translated	물약 효과 툴팁
Cures and prevent Stoned condition for 6 hours.\nRequire 20 power to work.\n	석화를 치료하고 6시간 동안 석화를 방지합니다.\n작동하려면 위력 20이 필요합니다.\n	translated	물약 효과 툴팁
Cures and prevents Curse and Paralysis for 6 hours.	저주와 마비를 치료하고 6시간 동안 방지합니다.	translated	물약 효과 툴팁
Cures and prevents Disease and Poison for 6 hours.	질병과 독을 치료하고 6시간 동안 방지합니다.	translated	물약 효과 툴팁
Cures and prevents Fear and Insanity for 6 hours.	공포와 광기를 치료하고 6시간 동안 방지합니다.	translated	물약 효과 툴팁
Cures and prevents Weakness and inducted Sleep for 6 hours.	약화와 강제 수면을 치료하고 6시간 동안 방지합니다.	translated	물약 효과 툴팁
Fix caracter age at 20.\nRequire 50 power to work.\n	캐릭터의 나이를 20세로 고정합니다.\n작동하려면 위력 50이 필요합니다.\n	translated	물약 효과 툴팁
Fix caracter age at 60.\nRequire 50 power to work.\n	캐릭터의 나이를 60세로 고정합니다.\n작동하려면 위력 50이 필요합니다.\n	translated	물약 효과 툴팁
Grant 500 Experience point per Power to the player.	플레이어에게 위력 1당 경험치 500을 부여합니다.	translated	물약 효과 툴팁
Heals based on the potion's power of hit points.	물약의 위력에 따라 생명력을 회복합니다.	translated	물약 효과 툴팁
Increases all resistances temporarily by 10+ (1 x Power) for 6 hours.	6시간 동안 모든 저항이 10 + (1 × 위력)만큼 증가합니다.	translated	물약 효과 툴팁
Increases all Seven Statistics temporarily by 10+(1 x Power) for 6 hours.	6시간 동안 7대 능력치가 모두 10 + (1 × 위력)만큼 증가합니다.	translated	물약 효과 툴팁
Increases Attack by 5+(0.5 x Power) for 6 Hours	6시간 동안 공격력이 5 + (0.5 × 위력)만큼 증가합니다.	translated	물약 효과 툴팁
Increases Melee damage by 5+(0.5 x Power) for 6 Hours	6시간 동안 근접 피해가 5 + (0.5 × 위력)만큼 증가합니다.	translated	물약 효과 툴팁
Increases Speed for 6 Hours	6시간 동안 속도가 증가합니다.	translated	물약 효과 툴팁
Increases temporary Fire, Air, Water and Earth resistance. (Dark)	화염, 공기, 물, 대지 저항을 일시적으로 증가시킵니다. (어둠)	translated	물약 효과 툴팁
Increases temporary Mind and Body resistance. (Light)	정신 및 육체 저항을 일시적으로 증가시킵니다. (빛)	translated	물약 효과 툴팁
Permanently adds 'of Darkness' property to a non-magic weapon.\nRequire 100 power to work.\n	마법이 부여되지 않은 무기에 '어둠의' 속성을 영구적으로 추가합니다.\n작동하려면 위력 100이 필요합니다.\n	translated	물약 효과 툴팁
Permanently adds 20 per 50 potion power to permanent Endurance, Speed and Luck.\nPreviously gained bonus do not stack.\n	물약 위력 50마다 인내력, 속도, 행운에 영구적으로 20을 추가합니다.\n이전에 얻은 보너스와 중첩되지 않습니다.\n	translated	물약 효과 툴팁
Permanently adds 20 per 50 potion power to permanent Intellect and Wisdom.\nPreviously gained bonus do not stack.\n	물약 위력 50마다 지능과 지혜에 영구적으로 20을 추가합니다.\n이전에 얻은 보너스와 중첩되지 않습니다.\n	translated	물약 효과 툴팁
Permanently adds 20 per 50 potion power to permanent Might and Accuracy.\nPreviously gained bonus do not stack.\n	물약 위력 50마다 힘과 정확도에 영구적으로 20을 추가합니다.\n이전에 얻은 보너스와 중첩되지 않습니다.\n	translated	물약 효과 툴팁
Permanently adds 30 per 50 potion power to Fire, Air, Water and Earth Resistance, single-use.\nRequire 50 power per step to work.\nPreviously gained bonus do not stack.\n	물약 위력 50마다 화염, 공기, 물, 대지 저항에 영구적으로 30을 추가합니다. 한 번만 사용할 수 있습니다.\n단계마다 작동하려면 위력 50이 필요합니다.\n이전에 얻은 보너스와 중첩되지 않습니다.\n	translated	물약 효과 툴팁
Permanently adds 30 per 50 potion power to Mind and Body Resistance, single-use.\nRequire 50 power per step to work.\nPreviously gained bonus do not stack.\n	물약 위력 50마다 정신 및 육체 저항에 영구적으로 30을 추가합니다. 한 번만 사용할 수 있습니다.\n단계마다 작동하려면 위력 50이 필요합니다.\n이전에 얻은 보너스와 중첩되지 않습니다.\n	translated	물약 효과 툴팁
Permanently adds a random tier 3 elemental damage enchant to a weapon.\nRequire 50 power to work.\n	무기에 무작위 3단계 원소 피해 마법부여를 영구적으로 추가합니다.\n작동하려면 위력 50이 필요합니다.\n	translated	물약 효과 툴팁
Prevents drowning damage for 6 hours.\nRequire 20 power to work.\n	6시간 동안 익사 피해를 방지합니다.\n작동하려면 위력 20이 필요합니다.\n	translated	물약 효과 툴팁
Provides Haste+Heroism+Bless.	신속 + 영웅심 + 축복 효과를 부여합니다.	translated	물약 효과 툴팁
Provides Shield+Stone Skin+Preservation.	방패 + 돌 피부 + 보존 효과를 부여합니다.	translated	물약 효과 툴팁
Recipes:\nAdd Orange: Champion's Potion\nAdd Purple: Power Boost\nAdd Green: Divine Cure	조합법:\n주황 추가: 챔피언의 물약\n보라 추가: 힘 강화\n초록 추가: 신성한 치유	translated	물약 조합법
Recipes:\nAdd Orange: Lesser Element\nAdd Purple: Wisdom Boost\nAdd Green: Divine Magic	조합법:\n주황 추가: 하급 원소\n보라 추가: 지혜 강화\n초록 추가: 신성 마법	translated	물약 조합법
Recipes:\nAdd Orange: Self Resistance\nAdd Purple: Elemental Resistance\nAdd Green: Paladin's Potion	조합법:\n주황 추가: 자기 저항\n보라 추가: 원소 저항\n초록 추가: 팔라딘의 물약	translated	물약 조합법
Recipes:\nAdd Orange: Swiftness\nAdd Purple: Resilience Boost\nAdd Green: Divine Restoration	조합법:\n주황 추가: 신속\n보라 추가: 회복력 강화\n초록 추가: 신성한 회복	translated	물약 조합법
Recipes:\nAdd Red: Divine Blessing\nAdd Blue: Darkness\nAdd Yellow: Greater Element	조합법:\n빨강 추가: 신성한 축복\n파랑 추가: 어둠\n노랑 추가: 상급 원소	translated	물약 조합법
Recipes:\nAdd Red: Haste\nAdd Blue: Protection\nAdd Yellow: Stone Skin\nAdd Purple: Magic Protection\nAdd Green: Stone to Flesh	조합법:\n빨강 추가: 신속\n파랑 추가: 보호\n노랑 추가: 돌 피부\n보라 추가: 마법 보호\n초록 추가: 석화 해제	translated	물약 조합법
