source	translation	status	notes
Armor Halved	방어력 절반	translated	몬스터 정보창 디버프명
Berserk	광분	translated	몬스터 정보창 상태명
Curse	저주	translated	몬스터 정보창 상태명
Damage Halved	피해량 절반	translated	몬스터 정보창 디버프명
Death	죽음	translated	몬스터 정보창 상태명
Disease 1	질병 1	translated	몬스터 정보창 상태명
Disease 2	질병 2	translated	몬스터 정보창 상태명
Disease 3	질병 3	translated	몬스터 정보창 상태명
Eradication	소멸	translated	몬스터 정보창 상태명
Fear	공포	translated	몬스터 정보창 상태명
Melee Only	근접 공격 전용	translated	몬스터 정보창 디버프명
Poison 1	독 1	translated	몬스터 정보창 상태명
Poison 2	독 2	translated	몬스터 정보창 상태명
Poison 3	독 3	translated	몬스터 정보창 상태명
Premature ageing	조기 노화	translated	몬스터 정보창 상태명
Shrinking	축소	translated	몬스터 정보창 디버프명
Sleep	수면	translated	몬스터 정보창 상태명
Slow	감속	translated	몬스터 정보창 디버프명
Stone	석화	translated	몬스터 정보창 상태명
Unconscious	의식불명	translated	몬스터 정보창 상태명
Weakness	약화	translated	몬스터 정보창 상태명
Insanity	광기	translated	몬스터 정보창 상태명
Paralysis	마비	translated	몬스터 정보창 상태명
Spell drain	주문력 흡수	translated	몬스터 정보창 상태명
Charm	매혹	translated	몬스터 정보창 디버프명
Enslave	노예화	translated	몬스터 정보창 디버프명
Paralyze	마비	translated	몬스터 정보창 디버프명
