source	translation	status	notes
Causes your party weapons to burn with a magical fire, giving the weapons fire enchant, on top of any other enchants	파티의 무기에 마법의 불꽃을 둘러 기존 마법부여와 별개로 화염 마법부여를 추가합니다.	translated	주문 설명
Enchants party weapons with the Vampiric ability.  Damage inflicted on monsters will be given to the weapon's wielder as extra hit points, up to his or her normal hit point maximum.	파티의 무기에 흡혈 능력을 부여합니다. 몬스터에게 준 피해가 무기 사용자의 추가 생명력으로 전환되며, 원래의 최대 생명력을 넘을 수는 없습니다.	translated	흡혈의 오라 설명
Reserve a flat amount of mana\nInvisibility works on the minds of nearby creatures, making them unable to notice the party unless spoken to or attacked.  Any attack you make, regardless of whether or not it hits or misses, will break this spell. This spell can't be cast while hostile monsters are nearby.\nThis effect remains active until deactivated, attacking or lose consciousness. While active and no monster is in the nearbies, it gets casted automatically.	일정량의 마나를 점유합니다.\n투명화는 주변 생물의 정신에 작용해, 말을 걸거나 공격하지 않는 한 파티를 알아차리지 못하게 합니다. 명중 여부와 관계없이 공격하면 주문이 해제됩니다. 적대적인 몬스터가 주변에 있을 때는 시전할 수 없습니다.\n이 효과는 해제하거나 공격하거나 의식을 잃을 때까지 유지됩니다. 활성화된 동안 주변에 몬스터가 없으면 자동으로 다시 시전됩니다.	translated	주문 설명
Reserve a flat amount of mana\nOnly useful outdoors, Water Walk lets your characters walk along the surface of water without sinking.\nThis effect remains active until deactivated or lose consciousness.	일정량의 마나를 점유합니다.\n야외에서만 사용할 수 있으며, 수면 보행은 캐릭터가 가라앉지 않고 물 위를 걸을 수 있게 합니다.\n이 효과는 해제하거나 의식을 잃을 때까지 유지됩니다.	translated	주문 설명
Reserve a flat amount of mana to grants the power of flight to your characters!  Only works outdoors, but it is very useful.  Fly will drain one spell point every five minutes it is in use (i.e. when you aren't touching the ground).\nThis effect remains active until deactivated or lose consciousness.	일정량의 마나를 점유해 캐릭터에게 비행 능력을 부여합니다! 야외에서만 작동하지만 매우 유용합니다. 비행 중에는 5분마다 주문력 1을 소모합니다(즉, 땅에 닿아 있지 않을 때).\n이 효과는 해제하거나 의식을 잃을 때까지 유지됩니다.	translated	주문 설명
Reserve a flat amount of mana to increase the radius of light surrounding your party in the dark.\nThis effect remains active until deactivated or lose consciousness.	일정량의 마나를 점유해 어둠 속에서 파티 주변을 밝히는 빛의 범위를 넓힙니다.\n이 효과는 해제하거나 의식을 잃을 때까지 유지됩니다.	translated	주문 설명
Reserve a flat amount of mana to show the locations of monsters and other points of interest while outdoors in the minimap.\nThis effect remains active until deactivated or lose consciousness.	일정량의 마나를 점유해 야외에서 미니맵에 몬스터와 기타 주요 지점의 위치를 표시합니다.\n이 효과는 해제하거나 의식을 잃을 때까지 유지됩니다.	translated	주문 설명
Reserve a percentage of your mana to  tightly binds the soul to the body. This will delay death due to massive hit point loss, but will not stop a character from going unconscious. If a preserved character's hit points are too low when the spell wears off, he or she will die.\nThis effect remains active until deactivated or lose consciousness.	마나의 일정 비율을 점유해 영혼을 육체에 단단히 묶습니다. 막대한 생명력 손실로 인한 죽음을 늦추지만 의식불명은 막지 못합니다. 보존 효과가 끝날 때 캐릭터의 생명력이 지나치게 낮다면 사망합니다.\n이 효과는 해제하거나 의식을 잃을 때까지 유지됩니다.	translated	주문 설명
Reserve a percentage of your mana to affect the entire party at once, granting immunity to certain spells and monster abilities that cause debilitation conditions.  These are:  Poison, Disease, Stone, Paralyze, Weak, Death and Eradicated.\nThis effect remains active until deactivated or lose consciousness.	마나의 일정 비율을 점유해 파티 전체에 동시에 적용되며, 약화 상태를 유발하는 일부 주문과 몬스터 능력에 면역을 부여합니다. 해당 상태는 중독, 질병, 석화, 마비, 약화, 죽음, 소멸입니다.\n이 효과는 해제하거나 의식을 잃을 때까지 유지됩니다.	translated	주문 설명
Reserve a percentage of your mana to enhance all of your party's Resistances by %s.\nWhile the base effects remain consistent, each additional 3 levels in Light Magic will enhance the effects equivalently to only 2 levels.\nThis effect remains active until deactivated or lose consciousness.	마나의 일정 비율을 점유해 파티의 모든 저항을 %s만큼 높입니다.\n기본 효과는 그대로 유지되며, 빛 마법 레벨이 추가로 3 오를 때마다 효과는 2레벨분만큼 증가합니다.\n이 효과는 해제하거나 의식을 잃을 때까지 유지됩니다.	translated	주문 설명
Reserve a percentage of your mana to enhance your party's Air Resistance and Speed by %s.\nYou get an additional 1 point for every 2 caster levels, increased by %s%% per skill level, up to double bonus.\nThis effect remains active until deactivated or lose consciousness.	마나의 일정 비율을 점유해 파티의 대기 저항과 속도를 %s만큼 높입니다.\n시전자 레벨 2마다 1점이 추가되며, 기술 레벨당 %s%%씩 증가하여 최대 두 배의 보너스를 받습니다.\n이 효과는 해제하거나 의식을 잃을 때까지 유지됩니다.	translated	주문 설명
Reserve a percentage of your mana to enhance your party's Armor Class by %s.\nYou get an additional 1 point for every 2 caster levels, increased by %s%% per skill level, up to double bonus.\nThis effect remains active until deactivated or lose consciousness.	마나의 일정 비율을 점유해 파티의 방어력을 %s만큼 높입니다.\n시전자 레벨 2마다 1점이 추가되며, 기술 레벨당 %s%%씩 증가하여 최대 두 배의 보너스를 받습니다.\n이 효과는 해제하거나 의식을 잃을 때까지 유지됩니다.	translated	주문 설명
