source	translation	status	notes
AC gained from armors is doubled	방어구에서 얻는 방어력이 두 배가 됩니다	translated	전설 아이템 효과
Base enchants on this items are 50% stronger	이 아이템의 기본 마법부여 효과가 50% 강해집니다	translated	전설 아이템 효과
Buffs reserve Hit Points instead of Mana and Hit Point coefficient is used instead.\nEnlightenment bonus still apply.	버프가 마나 대신 생명력을 점유하며 생명력 계수를 대신 사용합니다.\n깨달음 보너스는 계속 적용됩니다.	translated	전설 아이템 효과
Crit chance increased by 10% and crit chance over 100% increases total damage	치명타 확률이 10% 증가하며, 100%를 초과한 치명타 확률은 총 피해를 증가시킵니다	translated	전설 아이템 효과
Divine protection (instead of dying you go back to 25% HP, once every 5 minutes)	신성한 보호 (사망하는 대신 생명력 25%로 회복, 5분마다 한 번)	translated	전설 아이템 효과
Each attack reduces monster resistances by 1	공격할 때마다 몬스터의 저항을 1 감소시킵니다	translated	전설 아이템 효과
Immunity to all status effects from monsters	몬스터가 유발하는 모든 상태 이상에 면역이 됩니다	translated	전설 아이템 효과
Increase melee damage by 5% for each enemy in the nearbies	주변의 적 하나마다 근접 피해가 5% 증가합니다	translated	전설 아이템 효과
Increase Melee weapon skill by 10	근접 무기 기술이 10 증가합니다	translated	전설 아이템 효과
Increase the effect of resistances base enchants by 50%	저항 기본 마법부여의 효과가 50% 증가합니다	translated	전설 아이템 효과
Increases Ascension Skill level by 10	승천 기술 레벨이 10 증가합니다	translated	전설 아이템 효과
Killing a Monster Restores 10% of Health and Mana	몬스터를 처치하면 생명력과 마나를 10% 회복합니다	translated	전설 아이템 효과
Killing a monster with a single-target attack halves the recovery time	단일 대상 공격으로 몬스터를 처치하면 회복 시간이 절반으로 줄어듭니다	translated	전설 아이템 효과
Leech also restores Mana, but its effect is halved	흡수가 마나도 회복하지만 효과는 절반으로 감소합니다	translated	전설 아이템 효과
Leech overhealing heals the most injured party member instead	흡수로 발생한 초과 회복량은 대신 가장 많이 다친 파티원을 회복합니다	translated	전설 아이템 효과
Might and accuracy enchantments give 40% bonus to intellect and personality. Intellect and personality enchantments give 40% bonus to might and accuracy	힘과 정확도 마법부여는 지력과 인격에 40%의 추가 보너스를 줍니다. 지력과 인격 마법부여는 힘과 정확도에 40%의 추가 보너스를 줍니다	translated	전설 아이템 효과
Overhealing reduces recovery time equal to half overhealing amount	초과 회복량의 절반만큼 회복 시간을 감소시킵니다	translated	전설 아이템 효과
Overhealing refunds mana	초과 회복 시 마나를 돌려받습니다	translated	전설 아이템 효과
Reduce all damage taken by 10%	받는 모든 피해가 10% 감소합니다	translated	전설 아이템 효과
Reduces damage by 3% for each enemy in the nearbies	주변의 적 하나마다 받는 피해가 3% 감소합니다	translated	전설 아이템 효과
Successfully covering an ally restores 3% of your HP	아군 엄호에 성공하면 자신의 생명력을 3% 회복합니다	translated	전설 아이템 효과
Threshold HP to determine death/eradication depends on SP multiplied by mana shield efficiency instead, if higher	죽음/소멸 판정에 사용하는 생명력 임계값은 더 높은 경우 주문력에 마나 방패 효율을 곱한 값을 대신 사용합니다	translated	전설 아이템 효과
Your hits deal 2% of current monster HP as physical damage (1% for AoE, multi-hit spells and arrows).\nDamage is increased by weapon base attack speed or Ascensions for spells.	공격이 몬스터의 현재 생명력 2%만큼 물리 피해를 줍니다(광역 공격, 다단히트 주문, 화살은 1%).\n피해량은 무기의 기본 공격 속도에 따라 증가하며, 주문은 승천에 따라 증가합니다.	translated	전설 아이템 효과
Your weapon enchants can deal critical damage	무기 마법부여 효과가 치명타 피해를 줄 수 있습니다	translated	전설 아이템 효과
Your weapon enchants scale with the highest between might/int./pers.	무기 마법부여 효과는 힘/지력/인격 중 가장 높은 수치에 따라 증가합니다	translated	전설 아이템 효과
