source	translation	status	notes
It looks like you've never tried the Endless Waves mode before. In this mode, waves of enemies will keep appearing, growing stronger over time. Everytime you clear a level, your progress is saved, and you can start from the latest checkpoint. Prepare yourself for a relentless challenge!	끝없는 파도 모드는 처음인 것 같군요. 이 모드에서는 적의 무리가 계속 나타나며 시간이 갈수록 강해집니다. 레벨을 하나 클리어할 때마다 진행 상황이 저장되고, 가장 최근 체크포인트에서 다시 시작할 수 있습니다. 끝없는 도전에 대비하십시오!	translated	끝없는 투기장 안내
Endless Arena	끝없는 투기장	translated	투기장 토픽
Start Level 	도전 레벨 	translated	투기장 시작 토픽 접두어
Let's get started!	시작하지!	translated	투기장 NPC 대사
Serpent Mother	뱀의 어머니	translated	Game.PlaceMonTxt 몬스터명
Captain Sharp-Tooth	날카로운 이빨 대장	translated	Game.PlaceMonTxt 몬스터명
Captain Strong-Scale	단단한 비늘 대장	translated	Game.PlaceMonTxt 몬스터명
Captain Finch	핀치 대장	translated	Game.PlaceMonTxt 몬스터명
Mountain Man	산사람	translated	Game.PlaceMonTxt 몬스터명
Huge Orc	거대 오크	translated	Game.PlaceMonTxt 몬스터명
Naga Empress	나가 여제	translated	Game.PlaceMonTxt 몬스터명
