source	translation	status	notes
Seraphim is a divine warrior, blessed by the gods with otherworldly powers that set him apart from mortal fighters. His origins are shrouded in mystery, but it is said that he was chosen by the divine to carry out their will on the mortal plane. Some whisper that he was born from the union of a mortal and an angel, while others believe that he was created by the gods themselves. Regardless of his origins, there is no denying the power that Seraphim wields, and his presence on the battlefield is a testament to the will of the divine.\n\nProficiency in Plate, Sword, Mace, and Shield (can't dual wield)\n3 HP and 1 mana points gained per level\n\nAbilities:\n\nGods Wrath: Attacks deal extra magic damage based on Light skill (2 damage added per point in Light and Mind)\n\nHoly Strikes: Attacking will heal the most injured party member based on Body skill (2 points per point in Body and Spirit)\n\nDivine Protection: self-heals by 25% of your HP when facing lethal attacks, 5 minutes cooldown.	세라핌은 신들의 축복을 받아 범인과는 다른 초월적인 힘을 지닌 신성한 전사입니다. 그의 기원은 수수께끼에 싸여 있지만, 인간계에서 신들의 뜻을 수행하도록 선택받았다고 전해집니다. 어떤 이는 인간과 천사의 사이에서 태어났다고 수군거리고, 또 어떤 이는 신들이 직접 창조했다고 믿습니다. 기원이 무엇이든 세라핌이 휘두르는 힘은 부정할 수 없으며, 전장에서 그의 존재는 신의 의지를 증명합니다.\n\n판금 갑옷, 검, 철퇴, 방패에 능숙함 (쌍수 사용 불가)\n레벨당 생명력 3, 마나 1 획득\n\n능력:\n\n신의 분노: 공격 시 빛 기술에 따라 추가 마법 피해를 줍니다 (빛과 정신 기술 포인트당 피해 +2)\n\n신성한 일격: 공격 시 육체 기술에 따라 파티에서 가장 부상당한 아군을 치유합니다 (육체와 영혼 기술 포인트당 2)\n\n신성한 보호: 치명적인 공격을 받을 때 최대 생명력의 25%를 회복합니다. 재사용 대기시간 5분.	translated	세라핌 직업 설명
The Elementalist is the caster with the highest mana pool, who learns spells not from the book, but from casting spells of the same elemental school. He can't learn Ascension, but his ascension level is directly tied to the sum of the school levels divided by 4. Baseline spell recovery time is 50% higher; however, when he casts Magic, he gains stacks, which increase:\n\nSpell Damage: 10% per stack\nSpell Recovery Speed: 5% per stack\nMana Cost: 1 + 7.5% of the total.\n\nAfter a few seconds without casting, the stacks decay by 50%. Dealing damage with a bow, melee weapon, or from the spellbook will break concentration, instantly resetting all stacks.\n\nSpells are cast randomly but divided into three categories: Single Target, Area of Effect, and Shotgun. Depending on the chosen quick-cast spell, the rotation is adjusted accordingly. For example, setting Fireball as a quick-cast spell will automatically prioritize AoE spells.	원소술사는 가장 큰 마나량을 지닌 주문 시전자이며, 책이 아니라 같은 원소 계열의 주문을 직접 시전하면서 주문을 익힙니다. 승천을 직접 배울 수는 없지만 승천 레벨은 네 원소 계열 기술 레벨 합계를 4로 나눈 값에 따라 결정됩니다. 기본 주문 회복 시간은 50% 더 길지만, 마법을 시전하면 중첩을 얻어 다음 효과가 증가합니다:\n\n주문 피해: 중첩당 10%\n주문 회복 속도: 중첩당 5%\n마나 소모: 1 + 총량의 7.5%\n\n몇 초 동안 주문을 시전하지 않으면 중첩이 50%씩 감소합니다. 활이나 근접 무기로 피해를 주거나 주문서를 사용하면 집중이 깨져 모든 중첩이 즉시 초기화됩니다.\n\n주문은 무작위로 시전되지만 단일 대상, 광역 효과, 산탄형의 세 범주로 나뉩니다. 지정한 빠른 시전 주문에 따라 로테이션이 조정됩니다. 예를 들어 화염구를 빠른 시전 주문으로 설정하면 광역 주문을 자동으로 우선합니다.	translated	원소술사 직업 설명
The Shaman is a mystical warrior whose knowledge of magic enhances his martial prowess.\nYou can check following values by checking magic schools description in skills menu.\n - Each school will provide a unique bonus. There is strength in diversifying as well as specialization\n - Each point in Air will reduce damage a % pr rank reduced by level\n - Each point in Water will reduce damage by a flat number, making water better for weaker enemies, or if your defenses are already strong\n - Each point in spirit will increase healing and spell damage by a %\n - Fire will deal a % of current monster HP as fire damage, partially piercing this resistance. The bosskiller.\n - Each point in Earth will increase melee damage by a flat amount\n - Each point in Body will heal by flat amount\n - Each point in mind will restore a flat amount of mana	주술사는 마법 지식으로 무예를 강화하는 신비한 전사입니다.\n기술 메뉴의 마법 계열 설명에서 다음 수치를 확인할 수 있습니다.\n - 각 마법 계열은 고유한 보너스를 제공합니다. 여러 계열에 분산 투자하는 것과 한 계열에 집중하는 것 모두 장점이 있습니다.\n - 공기 기술 포인트마다 받는 피해를 일정 비율 감소시키며, 효과는 레벨에 따라 감소합니다.\n - 물 기술 포인트마다 받는 피해를 고정 수치로 감소시킵니다. 따라서 약한 적을 상대하거나 이미 방어력이 높은 경우 물이 더 효과적입니다.\n - 영혼 기술 포인트마다 치유량과 주문 피해가 일정 비율 증가합니다.\n - 화염은 몬스터의 현재 생명력에 비례한 화염 피해를 주며 저항을 일부 관통합니다. 보스 처치에 특화됩니다.\n - 대지 기술 포인트마다 근접 피해가 고정 수치로 증가합니다.\n - 육체 기술 포인트마다 고정 수치만큼 치유합니다.\n - 정신 기술 포인트마다 고정 수치만큼 마나를 회복합니다.	translated	주술사 직업 설명
This class combines the evil forces with brute power, making it powerful and versatile.\n Learning Frost/Blood/Unholy E/M/GM will unlock automatically new spells. However death knight can't learn spells from books.\n\nFrost:\n\nIncreases damage by 1-2-3 (at Novice, Master, Grandmaster levels) and boosts attack speed by 1% for every skill point invested.\n\nBlood:\n\nThis skill fortifies their resilience, reducing physical damage taken by 1% per skill point. Additionally, it endows their attacks with a leech effect, converting a portion of the damage dealt into health recovery.\n\nUnholy:\n\nIt amplifies damage by 1-2-3 (at Novice, Master, Grandmaster levels) and diminishes magical damage received by 1% for each skill point allocated.	이 직업은 사악한 힘과 강인한 육체를 결합해 강력하면서도 다재다능합니다.\n 냉기/혈기/부정 기술을 전문가/마스터/그랜드마스터로 올리면 새로운 주문을 자동으로 해금합니다. 단, 죽음의 기사는 주문서로 주문을 배울 수 없습니다.\n\n냉기:\n\n초보/마스터/그랜드마스터 단계에서 피해가 각각 1/2/3 증가하며, 투자한 기술 포인트마다 공격 속도가 1% 증가합니다.\n\n혈기:\n\n생존력을 강화해 기술 포인트당 받는 물리 피해를 1% 감소시킵니다. 또한 공격에 생명력 흡수 효과를 부여해 준 피해의 일부를 생명력으로 회복합니다.\n\n부정:\n\n초보/마스터/그랜드마스터 단계에서 피해가 각각 1/2/3 증가하며, 투자한 기술 포인트마다 받는 마법 피해가 1% 감소합니다.	translated	죽음의 기사 직업 설명
% at novice, expert, master and grandmaster rankings per point of skill in Dragon Ability.\nEach point in the skill increases damage and increases recovery time by 3%.	%씩 증가합니다(드래곤 능력 기술의 초보, 전문가, 마스터, 그랜드마스터 단계에서 기술 포인트당).\n기술 포인트마다 피해가 증가하고 회복 시간이 3% 증가합니다.	translated	드래곤 능력 설명의 동적 수치 뒤 문장
Increases spell damage and healing at the expense of higher mana cost and cast time.	마나 소모량과 시전 시간이 늘어나는 대신 주문 피해와 치유량이 증가합니다.	translated	승천 기술 설명
Speed|	속도|	translated	기술 상세 표 속도 라벨
%s\t075AC|	%s\t075방어도|	translated	기술 상세 표 방어도 라벨; 포맷/탭 보존
446561746820436f756e743a20	ec82aceba79d20ed9a9fec88983a20	translated	_H가 hex를 바이트로 복원함; UTF-8 hex는 런타임에서 '사망 횟수: '로 표시
%s\t0		excluded	기술 UI 정렬용 포맷; 번역 요소 없음
