id	status	category	source	translation	placeholders	first_file	first_line	occurrences	notes
maw-298b76148c59	translated	class	"

Light Magic quickens the Seraphim's strikes, increasing attack speed.

Its radiance lightens the blade so much that even a two-handed sword can be wielded in one hand, freeing the off hand for a shield.
"	"

빛 마법은 세라핌의 공격을 가속하여 공격 속도를 높입니다.

그 빛은 칼날을 매우 가볍게 만들어 양손검도 한 손으로 사용할 수 있게 하며, 다른 손에는 방패를 들 수 있습니다.
"		Scripts/General/zzClasses.lua	417	1	세라핌 빛 마법 설명
maw-9de960e7f949	translated	class	"

Seraph Spirit strengthens the Seraph's resolve, shrugging off light hits and softening heavy blows
"	"

세라프의 영혼은 세라프의 결의를 강화하여 가벼운 공격은 흘려내고 강한 공격의 피해를 줄입니다.
"		Scripts/General/zzClasses.lua	401	1	세라프 영혼 설명
maw-9fb746df06ca	translated	class	"

Seraphim damage upon attack increases depending on Mind magic, scaling with might(weapon speed and weapon damage multiplier applies).

"	"

세라핌의 공격 시 피해는 정신 마법에 따라 증가하고 힘에 비례합니다(무기 속도와 무기 피해 배율이 적용됩니다).

"		Scripts/General/zzClasses.lua	414	1	세라핌 정신 마법 설명
maw-3a6d65ad5596	translated	class	"

Seraphim healing upon attack increases depending on Body magic, scaling with personality(weapon speed multiplier applies).

"	"

세라핌의 공격 시 회복량은 육체 마법에 따라 증가하고 인격에 비례합니다(무기 속도 배율이 적용됩니다).

"		Scripts/General/zzClasses.lua	408	1	세라핌 육체 마법 설명
maw-15b04565ed76	translated	class	" (applied after resistances)
"	" (저항 적용 후 계산)
"		Scripts/General/zzClasses.lua	401	1	세라프 피해 감소 설명 조각
maw-2c39ec4a0977	untranslated	class	%s      %s|		%s %s	Scripts/General/zzClasses.lua	667	4	
maw-8306811ab44f	untranslated	class	%s     %s|		%s %s	Scripts/General/zzClasses.lua	669	4	
maw-f554a37086c3	untranslated	class	%s    %s		%s %s	Scripts/General/zzClasses.lua	673	8	
maw-2b4ccc7581b3	untranslated	class	%s  %s|		%s %s	Scripts/General/zzClasses.lua	672	8	
maw-b1fb3bec6fdb	untranslated	class	AC			Scripts/General/AdaptiveMonstersStats.lua	714	2	
maw-1b81f28b5afb	translated	class	Attack	근접		Scripts/General/zzClasses.lua	461	5	Game.GlobalTxt 근접 공격 표시
maw-5b4786e077ad	translated	class	Attack         +	근접         +		Scripts/General/zzClasses.lua	828	1	능력치 패널 근접 공격 표시
maw-3854c81b2cf3	untranslated	class	Character %s has invalid class id: %s. Resetted to %s		%s %s %s	Scripts/General/NPCMercenaries.lua	742	1	
maw-44f50a38ac6d	translated	class	Current damage from Mind: 	정신 마법으로 얻는 현재 피해: 		Scripts/General/zzClasses.lua	414	1	세라핌 능력치 표시
maw-8996eb86c11b	translated	class	Current heal from Body: 	육체 마법으로 얻는 현재 회복량: 		Scripts/General/zzClasses.lua	408	1	세라핌 능력치 표시
maw-1b1ac2652b80	untranslated	class	currentForce			Scripts/General/zzClasses.lua	866	1	
maw-7bf6d1d3a58a	translated	class	Damage	피해량		Scripts/General/zzClasses.lua	462	5	Game.GlobalTxt 피해 표시
maw-54198309009a	untranslated	class	damage			Scripts/General/zzClasses.lua	1156	9	
maw-560fe3e00686	translated	class	"Damage














"	"피해














"		Scripts/General/zzClasses.lua	827	1	줄바꿈 포함 능력치 UI
maw-e573ad9a62ae	translated	class	Damage reduction: 	피해 감소: 		Scripts/General/zzClasses.lua	401	1	세라프 능력치 표시
maw-08f0a732529a	untranslated	class	DamageMult			Scripts/General/zzClasses.lua	2180	22	
maw-d1e85b725202	untranslated	class	directionX			Scripts/General/zzClasses.lua	866	1	
maw-4c7f9ddae830	untranslated	class	directionY			Scripts/General/zzClasses.lua	866	1	
maw-ee2cd572baee	untranslated	class	"Dragons scales are hard enough to work as natural armor, gaining naturally 40 + 1 AC per level (up to level 600).
Scales further enhance their toughness and resistance to magical damage, increasing the thoughness by a percentage.

------------------------------------------------------------
          AC%| Res%"			Scripts/General/zzClasses.lua	807	1	
maw-5d3f344b5bd2	untranslated	class	duration			Scripts/General/zzClasses.lua	866	1	
maw-9d6d1bb8b10c	translated	class	Elder 	원로 		Scripts/General/zzClasses.lua	96	1	클래스명 접두어
maw-0fb88bcef8a5	untranslated	class	GetArmorClass			Scripts/General/AdaptiveMonstersStats.lua	1041	1	
maw-8a3559daa477	untranslated	class	Increases Armor Class  by 5+(0.5 x Power) for 6 Hours			Scripts/General/zzAlchemy.lua	482	1	
maw-1c6884f089f2	untranslated	class	Merc			Scripts/General/NPCMercenaries.lua	756	1	
maw-eeec8e860233	untranslated	class	Resistances			Scripts/General/zzClasses.lua	472	1	
maw-b301c10b3d0a	translated	class	Shoot	원거리		Scripts/General/zzClasses.lua	833	2	Game.GlobalTxt 원거리 공격 표시
maw-edea0f29be7d	translated	class	Shoot         +	원거리         +		Scripts/General/zzClasses.lua	829	1	능력치 패널 원거리 공격 표시
maw-1d87c39c6baa	untranslated	class	StackCost			Scripts/General/zzClasses.lua	2180	21	
maw-aeddfe22a01f	untranslated	class	Tick			Scripts/General/zzClasses.lua	1484	3	
maw-417ced4d83f0	untranslated	class	totalDuration			Scripts/General/zzClasses.lua	866	1	
maw-b0b73dfa2619	untranslated	class	totalForce			Scripts/General/zzClasses.lua	866	1	
maw-f099e38eb393	translated	class	Ultimate 	궁극의 		Scripts/General/zzClasses.lua	98	1	클래스명 접두어
maw-ae24a945c0d5	translated	item	"

Artifact Level: "	"

유물 레벨: "		Scripts/General/zzMaw-Items.lua	2500	1	아이템 툴팁
maw-0968edf89220	translated	item	"

Bonus AC: "	"

추가 방어력: "		Scripts/General/zzMAW-Skills.lua	605	1	스킬 설명
maw-b11fcd927849	translated	item	"

Celestial Items cannot be upgraded with crafting Gems or Cubes, but scale with player level, up to level 1000."	"

천상 아이템은 제작용 보석이나 큐브로 강화할 수 없지만, 플레이어 레벨에 따라 성장하며 최대 1000레벨까지 적용됩니다."		Scripts/General/zzMaw-Items.lua	2814	1	천상 아이템 설명
maw-f051a63b6b28	translated	item	"

Celestial Items cannot be upgraded with crafting Gems or Cubes, but scale with player level, up to level 600."	"

천상 아이템은 제작용 보석이나 큐브로 강화할 수 없지만, 플레이어 레벨에 따라 성장하며 최대 600레벨까지 적용됩니다."		Scripts/General/zzMaw-Items.lua	2812	1	천상 아이템 설명
maw-0c5e39bde9d5	translated	item	"

Current AC from items: "	"

아이템으로 얻는 현재 방어력: "		Scripts/General/zzMAW-Skills.lua	597	1	스킬 설명
maw-4b6f075b0000	untranslated	item	"

Item Bonus Power: "			Scripts/General/zzMaw-Items.lua	1839	1	
maw-04e85c28a52b	translated	item	"

Item Modifier:
Two Handed Weapons: "	"

아이템 보정치:
양손 무기: "		Scripts/General/zzAlchemy.lua	719	1	연금술 설명
maw-74f707e4e26c	untranslated	item	"

Level Required: "			Scripts/General/zzMaw-Items.lua	2802	1	
maw-d2fe0a0a69aa	untranslated	item	"

Scale with player level, up to level 550."			Scripts/General/zzMaw-Items.lua	2495	1	
maw-82210a28ed56	untranslated	item	"

Scale with player level, up to level 900."			Scripts/General/zzMaw-Items.lua	2497	1	
maw-02219f4d1f51	untranslated	item	"
Attack Speed: "			Scripts/General/zzMaw-Items.lua	2552	2	
maw-45425af9f0d2	untranslated	item	 +X			Scripts/General/zzMaw-Items.lua	1705	1	
maw-5c2d44bdc878	untranslated	item	 - Corrupted item #			Scripts/General/zzMaw-Item-Sorter.lua	720	1	
maw-296498801eda	untranslated	item	 Armor.			Scripts/General/zzMaw-Items.lua	2051	1	
maw-70364f2b0837	untranslated	item	 attacks and +			Scripts/General/zzMaw-Items.lua	2049	1	
maw-0b7385a3815f	untranslated	item	 Aura: adds 			Scripts/General/zzMaw-Items.lua	4699	1	
maw-d7e3a56e8341	untranslated	item	 Body and mind Resistances.			Scripts/General/zzMaw-Items.lua	2068	1	
maw-511c96a0a13d	untranslated	item	 Elemental Resistances.			Scripts/General/zzMaw-Items.lua	2067	1	
maw-8e704db26d0b	untranslated	item	 Endurance and			Scripts/General/zzMaw-Items.lua	2051	1	
maw-b3c25ac9c926	untranslated	item	 Endurance and Accuracy.			Scripts/General/zzMaw-Items.lua	2055	1	
maw-15e8e8dd4092	untranslated	item	 Endurance and Regenerate Hit points over time.			Scripts/General/zzMaw-Items.lua	2057	1	
maw-6eb59489bcbb	untranslated	item	" Fire Damage to any attack

"			Scripts/General/zzMaw-Items.lua	4699	1	
maw-fc9d83e4d0ea	untranslated	item	 Fire Resistance and Regenerate Hit points over time.			Scripts/General/zzMaw-Items.lua	2053	1	
maw-76e2c8fd1d31	untranslated	item	 Hit points and Regenerate Hit points over time.			Scripts/General/zzMaw-Items.lua	2047	1	
maw-fc6baca8cc26	untranslated	item	 in bag #			Scripts/General/zzMaw-Item-Sorter.lua	720	1	
maw-ac1801ec9062	untranslated	item	 Intellect and Accuracy.			Scripts/General/zzMaw-Items.lua	2065	1	
maw-3d01fd505175	untranslated	item	 Intellect and Luck.			Scripts/General/zzMaw-Items.lua	2052	1	
maw-5f49ae2cff07	untranslated	item	 Intellect and Might.			Scripts/General/zzMaw-Items.lua	2064	1	
maw-30f6831e8be1	untranslated	item	 Intellect and personality.			Scripts/General/zzMaw-Items.lua	2043	1	
maw-0826b5837c0d	untranslated	item	 Intellect and Personality.			Scripts/General/zzMaw-Items.lua	2060	1	
maw-80a597fa3ad2	untranslated	item	 Luck and Meditation Skill +			Scripts/General/zzMaw-Items.lua	2058	1	
maw-2554f3fab686	untranslated	item	 Might and Endurance.			Scripts/General/zzMaw-Items.lua	2059	1	
maw-9035db916f00	untranslated	item	 Might and Personality.			Scripts/General/zzMaw-Items.lua	2056	1	
maw-5fc62aed3ea9	untranslated	item	 Might)			Scripts/General/zzMaw-Items.lua	2482	1	
maw-28aa2eb8321b	untranslated	item	 Might, Intellect and Personality.			Scripts/General/zzMaw-Items.lua	2066	1	
maw-7b209315ce2c	untranslated	item	 Might.			Scripts/General/zzMaw-Items.lua	2049	1	
maw-bf5ae86ec0be	untranslated	item	 Personality and Accuracy.			Scripts/General/zzMaw-Items.lua	2063	1	
maw-f4fee4b943a6	untranslated	item	 points of Body damage.			Scripts/General/zzMaw-Items.lua	2028	3	
