source	translation	match_status	inheritance_status	category	occurrences	patchable_occurrences	variant_count	notes
Attack	근접	exact	safe_candidate	class	5	2	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Damage	피해량	exact	safe_candidate	class	5	2	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Shoot	원거리	exact	safe_candidate	class	2	2	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Accuracy	정확도	exact	safe_candidate	item	4	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Air Resistance	공기 저항	exact	safe_candidate	item	3	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Alchemy skill	연금술 기술	exact	safe_candidate	item	2	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Armsmaster skill	무기 전문가 기술	exact	safe_candidate	item	2	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Body Resistance	육체 저항	exact	safe_candidate	item	3	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Disarm skill	함정 해제 기술	exact	safe_candidate	item	2	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Dodge skill	회피 기술	exact	safe_candidate	item	2	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Earth Resistance	대지 저항	exact	safe_candidate	item	3	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Fire Resistance	화염 저항	exact	safe_candidate	item	3	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Great might	강대한 힘	exact	safe_candidate	item	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Hit Points	생명력	exact	safe_candidate	item	4	3	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
ID Item skill	아이템 감정 기술	exact	safe_candidate	item	2	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
ID Monster skill	몬스터 감정 기술	exact	safe_candidate	item	2	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Longsword	장검	exact	safe_candidate	item	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Might	힘	exact	safe_candidate	item	4	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Mind Resistance	정신 저항	exact	safe_candidate	item	3	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Personality	인격	exact	safe_candidate	item	4	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Potion Bottle	물약병	exact	safe_candidate	item	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Spell Points	주문력	exact	safe_candidate	item	2	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Unarmed skill	맨손 전투 기술	exact	safe_candidate	item	2	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Water Resistance	물 저항	exact	safe_candidate	item	3	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Antagarich	안타개릭	exact	safe_candidate	map	2	2	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Enroth	엔로스	exact	safe_candidate	map	2	2	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Goblin King	고블린 왕	exact	safe_candidate	map	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Jadame	제이덤	exact	safe_candidate	map	2	2	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Empty Barrel	빈 통	exact	safe_candidate	misc	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Cleric of Baa	바의 성직자	exact	safe_candidate	monster	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Priest of Baa	바의 사제	exact	safe_candidate	monster	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Air Magic	공기 마법	exact	safe_candidate	skill	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Body Magic	육체 마법	exact	safe_candidate	skill	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Dark Magic	어둠 마법	exact	safe_candidate	skill	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Earth Magic	대지 마법	exact	safe_candidate	skill	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Fire Magic	화염 마법	exact	safe_candidate	skill	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Misc	기타	exact	safe_candidate	skill	2	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Water Magic	물 마법	exact	safe_candidate	skill	2	2	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Book	책	exact	safe_candidate	spell	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
