id	category	source	file	line	patchable	reason	context
maw-78b71f0b8dd0	table	Available at start	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-64dd60fe1a04	table	Background	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-94fe252815f6	table	Body X	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-9f20eae6ab20	table	Body Y	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-73c4e71cab67	table	Def class	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-d8e2c895decd	table	Def sex	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-6a0bc0962c4f	table	Def voice	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-0a0ae07099e3	table	DefAttack (melee)	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-ba08034809c1	table	DefAttack (range)	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-973e7ce22c61	table	Face pics prefix	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-b7bc2bbe0781	table	Helm X	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-95620de1d004	table	Helm Y	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-70440046a3dc	table	Notes	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-dc2008034c5b	table	NPCPic	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-1c023edf160e	table	Paperdoll type	Data/Tables/Character portraits.txt	1	no	table_schema_structural	"#	Paperdoll type	Def class	Def voice	Def sex	Available at start	Body X	Body Y	Helm X	Helm Y	Background	bod	head	LHd	LHu	LHo	RHb	Unk	Unk	RHd	RHu	Face pics prefix	DefAttack (melee)	DefAttack (range)	NPCPic	Race	Notes"
maw-3b145c4853bc	table	Lich male	Data/Tables/Character portraits.txt	28	no	table_schema_structural	"26	0	45	26	0	-	29	33	0	0	backdolm	pc27bod	none	pc27LHo	pc27LHu	pc27LHu	pc27RHb	pc07lwp1	pc27lhu	pc27RHd	pc27RHu	pc27-	0	0	1038	6	Lich male"
maw-ae007db9235d	table	Lich female	Data/Tables/Character portraits.txt	29	no	table_schema_structural	"27	1	45	27	1	-	61	45	0	0	backdoll	pc28bod	none	pc28LHd	pc28LHu	pc28LHo	pc28RHb	pc07lwp1	pc28lhu	pc28RHd	pc28RHu	pc28-	0	0	439	6	Lich female"
maw-447689c89c97	table	WetS_	Data/Tables/Character portraits.txt	32	no	table_schema_structural	"30	0	-1	0	0	-	0	0	0	0	none	none	none	none	none	none	none	none	none	none	none	WetS_	0	0	0	-1	Wetsuit"
maw-20be328274ca	table	Wetsuit	Data/Tables/Character portraits.txt	32	no	table_schema_structural	"30	0	-1	0	0	-	0	0	0	0	none	none	none	none	none	none	none	none	none	none	none	WetS_	0	0	0	-1	Wetsuit"
maw-25074690237f	table	BackElfF	Data/Tables/Character portraits.txt	33	no	table_schema_structural	"31	1	0	33	1	x	60	47	0	0	BackElfF	pc31bod	none	pc31LHd	pc31LHu	pc31LHo	pc31RHb	none	pc31lhu	pc31RHd	pc31RHu	pc31-	0	0	1568	7	Elf F1"
maw-8a576d4c46bb	table	Elf F1	Data/Tables/Character portraits.txt	33	no	table_schema_structural	"31	1	0	33	1	x	60	47	0	0	BackElfF	pc31bod	none	pc31LHd	pc31LHu	pc31LHo	pc31RHb	none	pc31lhu	pc31RHd	pc31RHu	pc31-	0	0	1568	7	Elf F1"
maw-85e89559c2d7	table	BackElfM	Data/Tables/Character portraits.txt	34	no	table_schema_structural	"32	0	0	32	0	x	29	34	0	0	BackElfM	pc33bod	none	pc33LHo	pc33LHu	pc33LHu	pc33RHb	none	pc33lhu	pc33RHd	pc33RHu	pc33-	0	0	1570	7	Elf M1"
maw-a0f71494d19b	table	Elf M1	Data/Tables/Character portraits.txt	34	no	table_schema_structural	"32	0	0	32	0	x	29	34	0	0	BackElfM	pc33bod	none	pc33LHo	pc33LHu	pc33LHu	pc33RHb	none	pc33lhu	pc33RHd	pc33RHu	pc33-	0	0	1570	7	Elf M1"
maw-25074690237f	table	BackElfF	Data/Tables/Character portraits.txt	35	no	table_schema_structural	"33	1	0	31	1	x	60	47	0	0	BackElfF	pc32bod	none	pc32LHd	pc32LHu	pc32LHo	pc32RHb	none	pc32lhu	pc32RHd	pc32RHu	pc32-	0	0	1569	7	Elf F2"
maw-2150d491a7a5	table	Elf F2	Data/Tables/Character portraits.txt	35	no	table_schema_structural	"33	1	0	31	1	x	60	47	0	0	BackElfF	pc32bod	none	pc32LHd	pc32LHu	pc32LHo	pc32RHb	none	pc32lhu	pc32RHd	pc32RHu	pc32-	0	0	1569	7	Elf F2"
