source	translation	status	category	patchable_occurrences	reasons	files	sample_context
"

Light Magic quickens the Seraphim's strikes, increasing attack speed.

Its radiance lightens the blade so much that even a two-handed sword can be wielded in one hand, freeing the off hand for a shield.
"		untranslated	class	1	formatted_colored_text:1	Scripts/General/zzClasses.lua	".. StrColor(255,255,30,""\n\nLight Magic quickens the Seraphim's strikes, increasing attack speed.\n\nIts radiance lightens the blade so much that even a two-handed sword can be wielded in one hand, freeing the off hand for a shield.\n"")"
"

Seraph Spirit strengthens the Seraph's resolve, shrugging off light hits and softening heavy blows
"		untranslated	class	1	formatted_colored_text:1	Scripts/General/zzClasses.lua	"local txt = baseSchoolsTxtSERAPH[16] .. ""\n\nSeraph Spirit strengthens the Seraph's resolve, shrugging off light hits and softening heavy blows\n"" .. ""Damage reduction: "" .. StrColor(0,255,0,spiritReduction) .. "" (applied after resistances)\n"""
"

Seraphim damage upon attack increases depending on Mind magic, scaling with might(weapon speed and weapon damage multiplier applies).

"		untranslated	class	1	formatted_colored_text:1	Scripts/General/zzClasses.lua	"local txt=baseSchoolsTxtSERAPH[17] .. ""\n\nSeraphim damage upon attack increases depending on Mind magic, scaling with might(weapon speed and weapon damage multiplier applies).\n\n"" .. ""Current damage from Mind: "" .. StrColor(255,0,0,mindDMG) .. ""\n"""
"

Seraphim healing upon attack increases depending on Body magic, scaling with personality(weapon speed multiplier applies).

"		untranslated	class	1	formatted_colored_text:1	Scripts/General/zzClasses.lua	"local txt=baseSchoolsTxtSERAPH[18] .. ""\n\nSeraphim healing upon attack increases depending on Body magic, scaling with personality(weapon speed multiplier applies).\n\n"" .. ""Current heal from Body: "" .. StrColor(0,255,0,bodyHeal) .. ""\n"""
" (applied after resistances)
"		untranslated	class	1	formatted_colored_text:1	Scripts/General/zzClasses.lua	"local txt = baseSchoolsTxtSERAPH[16] .. ""\n\nSeraph Spirit strengthens the Seraph's resolve, shrugging off light hits and softening heavy blows\n"" .. ""Damage reduction: "" .. StrColor(0,255,0,spiritReduction) .. "" (applied after resistances)\n"""
Current damage from Mind: 		untranslated	class	1	formatted_colored_text:1	Scripts/General/zzClasses.lua	"local txt=baseSchoolsTxtSERAPH[17] .. ""\n\nSeraphim damage upon attack increases depending on Mind magic, scaling with might(weapon speed and weapon damage multiplier applies).\n\n"" .. ""Current damage from Mind: "" .. StrColor(255,0,0,mindDMG) .. ""\n"""
Current heal from Body: 		untranslated	class	1	formatted_colored_text:1	Scripts/General/zzClasses.lua	"local txt=baseSchoolsTxtSERAPH[18] .. ""\n\nSeraphim healing upon attack increases depending on Body magic, scaling with personality(weapon speed multiplier applies).\n\n"" .. ""Current heal from Body: "" .. StrColor(0,255,0,bodyHeal) .. ""\n"""
Damage reduction: 		untranslated	class	1	formatted_colored_text:1	Scripts/General/zzClasses.lua	"local txt = baseSchoolsTxtSERAPH[16] .. ""\n\nSeraph Spirit strengthens the Seraph's resolve, shrugging off light hits and softening heavy blows\n"" .. ""Damage reduction: "" .. StrColor(0,255,0,spiritReduction) .. "" (applied after resistances)\n"""
"

Artifact Level: "		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"txt=StrColor(120, 240, 255,""\n\nArtifact Level: "" .. t.Item.BonusExpireTime)"
"

Bonus AC: "		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"Skillz.setDesc(skill,1,string.format(Skillz.getDesc(skill,1) .. ""\n\nBonus AC: "" .. StrColor(255,255,100,itemArmorClassBonus2) .. ""\n""))"
