file	line	sink	literal	context
Scripts/General/NPCFollowers.lua	352	ui_tooltip	NPC %d	"Label = strformat(""NPC %d"", i),"
Scripts/General/zzBossSync.lua	430	status	BossDebug: écrit dans boss_dump.txt	"if Game and Game.ShowStatusText then Game.ShowStatusText(""BossDebug: écrit dans boss_dump.txt"") end"
Scripts/General/zzBossSync.lua	432	status	BossDebug: impossible d’écrire boss_dump.txt	"if Game and Game.ShowStatusText then Game.ShowStatusText(""BossDebug: impossible d’écrire boss_dump.txt"") end"
Scripts/General/zzMaw-Monsters.lua	2895	question	yes	"answer=Question(""악몽 모드를 활성화했습니다. 몬스터가 훨씬 강해지고 전투 중 저장하거나 순간이동으로 빠져나갈 수 없지만, 발견하는 아이템도 훨씬 강력해집니다.\n던전의 몬스터 대부분을 처치하기 전에 떠나면 몬스터가 다시 생성됩니다.\n던전을 클리어하면 추가 보상을 받습니다.\n다시 생성된 몬스터는 경험치와 전리품을 적게 주며, 진정한 악몽을 활성화하면 되돌릴 수 없습니다. 정말 진행하시겠습니까? (yes/no 입력)"")  if answer==""yes"" or answer==""Yes"" or answer==""YES"" then"
Scripts/General/zzMaw-Monsters.lua	2895	question	Yes	"answer=Question(""악몽 모드를 활성화했습니다. 몬스터가 훨씬 강해지고 전투 중 저장하거나 순간이동으로 빠져나갈 수 없지만, 발견하는 아이템도 훨씬 강력해집니다.\n던전의 몬스터 대부분을 처치하기 전에 떠나면 몬스터가 다시 생성됩니다.\n던전을 클리어하면 추가 보상을 받습니다.\n다시 생성된 몬스터는 경험치와 전리품을 적게 주며, 진정한 악몽을 활성화하면 되돌릴 수 없습니다. 정말 진행하시겠습니까? (yes/no 입력)"")  if answer==""yes"" or answer==""Yes"" or answer==""YES"" then"
Scripts/General/zzMaw-Monsters.lua	2895	question	YES	"answer=Question(""악몽 모드를 활성화했습니다. 몬스터가 훨씬 강해지고 전투 중 저장하거나 순간이동으로 빠져나갈 수 없지만, 발견하는 아이템도 훨씬 강력해집니다.\n던전의 몬스터 대부분을 처치하기 전에 떠나면 몬스터가 다시 생성됩니다.\n던전을 클리어하면 추가 보상을 받습니다.\n다시 생성된 몬스터는 경험치와 전리품을 적게 주며, 진정한 악몽을 활성화하면 되돌릴 수 없습니다. 정말 진행하시겠습니까? (yes/no 입력)"")  if answer==""yes"" or answer==""Yes"" or answer==""YES"" then"
Scripts/General/zzMaw-Multiplayer.lua	107	status	MAW: apply (safe)	"if Game and Game.ShowStatusText then Game.ShowStatusText(""MAW: apply (safe)"") end"
Scripts/General/zzMaw-Multiplayer.lua	785	status	MAW: ALL BUFFS NUKED (SAFE)	"if Game and Game.ShowStatusText then Game.ShowStatusText(""MAW: ALL BUFFS NUKED (SAFE)"") end"
Scripts/General/zz_Maw-initialize.lua	307	display_name	Emerald Island	"if Game.ItemsTxt[1466].Name==""Emerald Island"" then"
Scripts/Global/Quest_SavingGoobers.lua	131	message	Intro	"Message(TXT[""Intro"" .. tostring(QSet.GotIntro)])"
Scripts/Global/Quest_SavingGoobers.lua	402	message	Attune	"Message(TXT[""Attune"" .. CurStatName])"
Scripts/Global/Quest_SavingGoobers.lua	407	message	NotAttune	"Message(TXT[""NotAttune"" .. CurStatName])"
Scripts/Maps/d22.lua	41	event_hint	test	"evt.hint[452] = ""test"""
