	Name	Description	Effect																																																																																																																							
200	Widowsweep Berries	Reagent	+ Bottle = Red Potion +1																																																																																																																							
201	Crushed Rose Petals	Reagent	+ Bottle = Red Potion +5																																																																																																																							
202	Vial of Troll Blood	Reagent	+ Bottle = Red Potion +10																																																																																																																							
203	Ruby	Reagent	+ Bottle = Red Potion +20																																																																																																																							
204	Dragon's Eye	Reagent	+ Bottle = Red Potion +50																																																																																																																							
205	Phirna Root	Reagent	+ Bottle = Blue Potion +1																																																																																																																							
206	Meteorite Fragment	Reagent	+ Bottle = Blue Potion +5																																																																																																																							
207	Harpy Feather	Reagent	+ Bottle = Blue Potion +10																																																																																																																							
208	Moonstone	Reagent	+ Bottle = Blue Potion +20																																																																																																																							
209	Elvish Toadstool	Reagent	+ Bottle = Blue Potion +50																																																																																																																							
210	Poppysnaps	Reagent	+ Bottle = Yellow Potion +1																																																																																																																							
211	Fae Dust	Reagent	+ Bottle = Yellow Potion +5																																																																																																																							
212	Sulfur	Reagent	+ Bottle = Yellow Potion +10																																																																																																																							
213	Garnet	Reagent	+ Bottle = Yellow Potion +20																																																																																																																							
214	Vial of Devil Ichor	Reagent	+ Bottle = Yellow Potion +50																																																																																																																							
215	Mushroom	Reagent	+ Bottle = Gray Potion +1																																																																																																																							
216	Obsidian	Reagent	+ Bottle = Gray Potion +5																																																																																																																							
217	Vial of Ooze Endoplasm	Reagent	+ Bottle = Gray Potion +10																																																																																																																							
218	Mercury	Reagent	+ Bottle = Gray Potion +20																																																																																																																							
219	Philosopher's Stone	Reagent	+ Bottle = Gray Potion +75																																																																																																																							
