id	potion_name	potion_description	potion_effect	potnotes_name	potnotes_description	potnotes_effect	display_fields_match
200	Widowsweep Berries	Reagent	+ Bottle = Red Potion +1	Widowsweep Berries	Reagent	+ Bottle = Red Potion +1	yes
201	Crushed Rose Petals	Reagent	+ Bottle = Red Potion +5	Crushed Rose Petals	Reagent	+ Bottle = Red Potion +5	yes
202	Vial of Troll Blood	Reagent	+ Bottle = Red Potion +10	Vial of Troll Blood	Reagent	+ Bottle = Red Potion +10	yes
203	Ruby	Reagent	+ Bottle = Red Potion +20	Ruby	Reagent	+ Bottle = Red Potion +20	yes
204	Dragon's Eye	Reagent	+ Bottle = Red Potion +50	Dragon's Eye	Reagent	+ Bottle = Red Potion +50	yes
205	Phirna Root	Reagent	+ Bottle = Blue Potion +1	Phirna Root	Reagent	+ Bottle = Blue Potion +1	yes
206	Meteorite Fragment	Reagent	+ Bottle = Blue Potion +5	Meteorite Fragment	Reagent	+ Bottle = Blue Potion +5	yes
207	Harpy Feather	Reagent	+ Bottle = Blue Potion +10	Harpy Feather	Reagent	+ Bottle = Blue Potion +10	yes
208	Moonstone	Reagent	+ Bottle = Blue Potion +20	Moonstone	Reagent	+ Bottle = Blue Potion +20	yes
209	Elvish Toadstool	Reagent	+ Bottle = Blue Potion +50	Elvish Toadstool	Reagent	+ Bottle = Blue Potion +50	yes
210	Poppysnaps	Reagent	+ Bottle = Yellow Potion +1	Poppysnaps	Reagent	+ Bottle = Yellow Potion +1	yes
211	Fae Dust	Reagent	+ Bottle = Yellow Potion +5	Fae Dust	Reagent	+ Bottle = Yellow Potion +5	yes
212	Sulfur	Reagent	+ Bottle = Yellow Potion +10	Sulfur	Reagent	+ Bottle = Yellow Potion +10	yes
213	Garnet	Reagent	+ Bottle = Yellow Potion +20	Garnet	Reagent	+ Bottle = Yellow Potion +20	yes
214	Vial of Devil Ichor	Reagent	+ Bottle = Yellow Potion +50	Vial of Devil Ichor	Reagent	+ Bottle = Yellow Potion +50	yes
215	Mushroom	Reagent	+ Bottle = Gray Potion +1	Mushroom	Reagent	+ Bottle = Gray Potion +1	yes
216	Obsidian	Reagent	+ Bottle = Gray Potion +5	Obsidian	Reagent	+ Bottle = Gray Potion +5	yes
217	Vial of Ooze Endoplasm	Reagent	+ Bottle = Gray Potion +10	Vial of Ooze Endoplasm	Reagent	+ Bottle = Gray Potion +10	yes
218	Mercury	Reagent	+ Bottle = Gray Potion +20	Mercury	Reagent	+ Bottle = Gray Potion +20	yes
219	Philosopher's Stone	Reagent	+ Bottle = Gray Potion +75	Philosopher's Stone	Reagent	+ Bottle = Gray Potion +75	yes
220	Potion Bottle	Empty Bottle	None	Potion Bottle	Empty Bottle	None	yes
221	Catalyst	Gray Potion	Boost Potion	Catalyst	Gray Potion	Boost Potion	yes
222	Cure Wounds	Red Potion	Heal 10+skill HP	Cure Wounds	Red Potion	Heal 10+skill HP	yes
223	Magic Potion	Blue Potion	Restore 10+skill MP	Magic Potion	Blue Potion	Restore 10+skill MP	yes
224	Energy Potion	Yellow Potion	Remove Weak cond	Cure Weakness	Yellow Potion	Remove Weak cond	no
225	Antidote	Orange Potion	Remove Disease 1,2,3 cond	Cure Disease	Orange Potion	Remove Disease 1,2,3 cond	no
226	Hexbane	Purple Potion	Remove Poison 1,2,3 cond	Cure Poison	Purple Potion	Remove Poison 1,2,3 cond	no
227	Lucidity	Green Potion	Remove Sleep cond	Awaken	Green Potion	Remove Sleep cond	no
228	Haste	Red and Orange Potion	Cast Haste	Haste	Red and Orange Potion	Cast Haste	yes
229	Heroism	Red and Purple Potion	Cast Heroism	Heroism	Red and Purple Potion	Cast Heroism	yes
230	Bless	Red and Green Potion	Cast Bless	Bless	Red and Green Potion	Cast Bless	yes
231	Protection	Blue and Orange Potion	Cast Preservation	Preservation	Blue and Orange Potion	Cast Preservation	no
232	Meditation	Blue and Purple Potion	Cast Shield	Shield	Blue and Purple Potion	Cast Shield	no
233	Regeneration	Blue and Green Potion	Cast Protection	Recharge Item	Blue and Green Potion	Cast Protection	no
234	Stone Skin	Yellow and Orange Potion	Cast Stoneskin	Stoneskin	Yellow and Orange Potion	Cast Stoneskin	no
235	Water Breathing	Yellow and Purple Potion	Prevents drowning damage	Water Breathing	Yellow and Purple Potion	Prevent drowning damage	no
236	Harden Item	Yellow and Green Potion	Add strength to toughness of item	Harden Item	Yellow and Green Potion	Add strength to toughness of item	yes
237	Magic Protection	Orange and Purple Potion	Remove Fear cond	Remove Fear	Orange and Purple Potion	Remove Fear cond	no
238	Enchant Item	Purple and Green Potion	Remove Curse cond	Remove Curse	Purple and Green Potion	Remove Curse cond	no
239	Stone to Flesh	Orange and Green Potion	Remove Insanity cond	Cure Insanity	Orange and Green Potion	Remove Insanity cond	no
