table	id	source_name	ko_name	source_description	ko_description	source_effect	ko_effect
POTION.TXT	200	Widowsweep Berries	위도우스위프 열매	Reagent	시약	+ Bottle = Red Potion +1	+ 물약병 = 붉은색 물약 +1
POTION.TXT	201	Crushed Rose Petals	으깬 장미 꽃잎	Reagent	시약	+ Bottle = Red Potion +5	+ 물약병 = 붉은색 물약 +5
POTION.TXT	202	Vial of Troll Blood	트롤의 피 약병	Reagent	시약	+ Bottle = Red Potion +10	+ 물약병 = 붉은색 물약 +10
POTION.TXT	203	Ruby	루비	Reagent	시약	+ Bottle = Red Potion +20	+ 물약병 = 붉은색 물약 +20
POTION.TXT	204	Dragon's Eye	드래곤의 눈	Reagent	시약	+ Bottle = Red Potion +50	+ 물약병 = 붉은색 물약 +50
POTION.TXT	205	Phirna Root	피마 뿌리	Reagent	시약	+ Bottle = Blue Potion +1	+ 물약병 = 푸른색 물약 +1
POTION.TXT	206	Meteorite Fragment	운석 조각	Reagent	시약	+ Bottle = Blue Potion +5	+ 물약병 = 푸른색 물약 +5
POTION.TXT	207	Harpy Feather	하피 깃털	Reagent	시약	+ Bottle = Blue Potion +10	+ 물약병 = 푸른색 물약 +10
POTION.TXT	208	Moonstone	월장석	Reagent	시약	+ Bottle = Blue Potion +20	+ 물약병 = 푸른색 물약 +20
POTION.TXT	209	Elvish Toadstool	엘프 독버섯	Reagent	시약	+ Bottle = Blue Potion +50	+ 물약병 = 푸른색 물약 +50
POTION.TXT	210	Poppysnaps	양귀비 꼬투리	Reagent	시약	+ Bottle = Yellow Potion +1	+ 물약병 = 노란색 물약 +1
POTION.TXT	211	Fae Dust	요정 가루	Reagent	시약	+ Bottle = Yellow Potion +5	+ 물약병 = 노란색 물약 +5
POTION.TXT	212	Sulfur	황	Reagent	시약	+ Bottle = Yellow Potion +10	+ 물약병 = 노란색 물약 +10
POTION.TXT	213	Garnet	석류석	Reagent	시약	+ Bottle = Yellow Potion +20	+ 물약병 = 노란색 물약 +20
POTION.TXT	214	Vial of Devil Ichor	악마 체액 약병	Reagent	시약	+ Bottle = Yellow Potion +50	+ 물약병 = 노란색 물약 +50
POTION.TXT	215	Mushroom	버섯	Reagent	시약	+ Bottle = Gray Potion +1	+ 물약병 = 회색 물약 +1
POTION.TXT	216	Obsidian	흑요석	Reagent	시약	+ Bottle = Gray Potion +5	+ 물약병 = 회색 물약 +5
POTION.TXT	217	Vial of Ooze Endoplasm	우즈 원형질 약병	Reagent	시약	+ Bottle = Gray Potion +10	+ 물약병 = 회색 물약 +10
POTION.TXT	218	Mercury	수은	Reagent	시약	+ Bottle = Gray Potion +20	+ 물약병 = 회색 물약 +20
POTION.TXT	219	Philosopher's Stone	현자의 돌	Reagent	시약	+ Bottle = Gray Potion +75	+ 물약병 = 회색 물약 +75
POTION.TXT	220	Potion Bottle	물약병	Empty Bottle	빈 물약병	None	없음
POTION.TXT	221	Catalyst	촉매	Gray Potion	회색 물약	Boost Potion	물약 강화
POTION.TXT	222	Cure Wounds	상처 치료	Red Potion	붉은색 물약	Heal 10+skill HP	생명력 10 + 연금술 기술만큼 회복
